taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Cephalotus_follicularis,ON149879,NA,NA,1,1,1,1,1,1
Ackama_rosifolia,UnknownN,DQ499074,NA,NA,NA,NA,NA,NA,NA
Caldcluvia_paniculosa,UnknownN,DQ499068,NA,NA,NA,NA,NA,NA,NA
Callicoma_serratifolia,CUN120,PQ778287,NA,NA,NA,NA,PQ879015,NA,NA
Ceratopetalum_apetalum,UnknownN,DQ499070,NA,NA,NA,NA,NA,NA,NA
Cunonia_balansae,CUN069,PQ778246,NA,NA,NA,NA,PQ878973,NA,NA
Davidsonia_pruriens,Carlsen3197,OL536442,NA,NA,NA,OL536852,NA,NA,NA
Eucryphia_cordifolia,CONC125000,OK052514,NA,NA,NA,NA,NA,NA,NA
Lamononia_ternata,Blum10-127,KF420994,NA,NA,NA,NA,NA,NA,NA
Opocunonia_papuana,UnknownN,DQ499069,NA,NA,NA,NA,NA,NA,NA
Pancheria_hirsuta,CUN132,PQ778260,NA,NA,NA,NA,PQ878988,NA,NA
Spiraeopsis_celebica,UnknownN,AF485641,NA,NA,NA,AF291923,AF299217,NA,NA
Vesselowskya_rubifolia,CUN136,PQ778296,NA,NA,NA,NA,PQ879030,NA,NA
Weinmannia_reticulata,CUN111,PQ778279,NA,NA,NA,NA,PQ879007,NA,NA
Aceratium_ferrugineum,Harrington296,DQ448685,NA,NA,NA,NA,DQ444681,NA,NA
Aristotelia_fruticosa,Chase781,DQ448662,NA,NA,NA,NA,DQ444662,NA,NA
Crinodendron_patagua,AllenNSW605484,DQ448674,NA,NA,NA,NA,DQ444666,NA,NA
Dubouzetia_campanulata,Crayn745,KJ675676,NA,NA,NA,NA,DQ444667,NA,NA
Elaeocarpus_decipiens,MZ334669,NA,NA,1,1,1,1,1,1
Peripentadenia_phelpsii,Crayn887,DQ448678,NA,NA,NA,NA,DQ444671,NA,NA
Platytheca_galioides,Crayn701c,EF095731,NA,NA,NA,NA,NA,NA,NA
Sericolea_micans,Crayn536,KJ675672,NA,NA,NA,NA,DQ444673,NA,NA
Sloanaea_syandra,UnknownN,OK052512,NA,NA,NA,NA,NA,NA,NA
Tetratheca_hirsuta,Butcher915,EF095732,NA,NA,NA,NA,EF095742,NA,NA
Tremandra_diffusa,Butcher961,DQ448672,NA,NA,NA,NA,DQ444701,NA,NA
Vallea_stipularis,Chase654,DQ448665,NA,NA,NA,NA,DQ444664,NA,NA
Brunellia_antioquensis,MN615725,OK052516,NA,1,1,1,1,1,1
Brunellia_trianae,MN585217,OK052545,NA,1,1,1,1,1,1
Agelaea_borneensis,AS166,NA,NA,NA,NA,KU853162,KU853218,NA,NA
Connarus_panamensis,DB0282,NA,NA,MZ478340,NA,KJ594195,NA,NA,NA
Cnestis_polyphylla,Abbott9113,NA,NA,NA,NA,JX572418,NA,NA,NA
Cnestidium_rufescens,DB0784,NA,NA,MZ478332,NA,KJ594182,NA,NA,NA
Jollydora_glandulosa,PM5146,NA,NA,NA,NA,KC628392,NA,NA,NA
Ellipanthus_glabrifolius,CPG00356,NA,NA,NA,NA,KX527037,NA,NA,NA
Rourea_microphylla,MT537171,NA,NA,1,1,1,1,1,1
Averrhoa_carambola,NC033350,NA,NA,1,1,1,1,1,1
Biophytum_abyssinicum,BIOAB,EU436864,NA,NA,NA,NA,AJ582292,EU437153,NA
Dapania_pentandra,DAPEN,EU436861,NA,NA,NA,NA,EU437031,EU437150,NA
Sarcotheca_monophylla,SARMON,EU436860,NA,NA,NA,NA,EU437030,EU437149,NA
