taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF
Oxalis_adenophylla,LZ160,1,NA,NA,NA,1
Oxalis_alata,PF5058,1,NA,1,NA,1
Oxalis_alstonii,Fiaschi5363,1,NA,1,NA,1
Oxalis_alvimii,Fiaschi4597,1,NA,NA,NA,NA
Oxalis_animarum,Cabral275,1,NA,1,NA,1
Oxalis_argentina,FOZ12028,1,NA,NA,NA,1
Oxalis_artemioides,Sartor81,1,NA,1,NA,NA
Oxalis_articulata,MM4524,1,NA,NA,NA,1
Oxalis_articulata,MV505,1,NA,1,NA,1
Oxalis_barrelieri,Fiaschi4654,1,NA,NA,NA,NA
Oxalis_bifrons,PF3633,1,NA,1,NA,1
Oxalis_bifrons,FSC,1,NA,1,NA,1
Oxalis_bifrons,CONSENSUS,1,NA,1,NA,1
Oxalis_bifrons_subsp_litoralis,AN1875,1,NA,1,NA,1
Oxalis_bisfracta,EE232,1,NA,1,NA,1
Oxalis_brasiliensis,FOZ11401,1,NA,NA,NA,1
Oxalis_caesariata,Radavelli62,1,NA,1,NA,1
Oxalis_caesariata,Fiaschi5273,1,NA,1,NA,1
Oxalis_calachaccensis,EE880,1,NA,1,NA,1
Oxalis_cauliflora,Vasques78,1,NA,1,NA,1
Oxalis_cerradoana,Cabral259,1,NA,1,NA,1
Oxalis_cf_alstonii,Cabral273,1,NA,1,NA,1
Oxalis_cf_cerradoana,Cabral251,1,NA,1,NA,1
Oxalis_cf_neuwiedii,Rhoden8,1,NA,1,NA,1
Oxalis_cf_roselata,Rhoden16,1,NA,1,NA,1
Oxalis_cipoensis,Costa110,1,NA,1,NA,1
Oxalis_colatinensis,Fiaschi4625,1,NA,NA,NA,NA
Oxalis_colatinensis,Fiaschi4631,1,NA,NA,NA,NA
Oxalis_confertissima,PF4478,1,NA,1,NA,1
Oxalis_conorrhiza,MM4518,1,NA,NA,NA,NA
Oxalis_conorrhiza,FOZ12216,NA,NA,NA,NA,1
Oxalis_conorrhiza,MV175,1,NA,NA,NA,1
Oxalis_conorrhiza,MV206,NA,NA,1,NA,1
Oxalis_conorrhiza,FSC,1,NA,NA,NA,1
Oxalis_conorrhiza,CONSENSUS,1,NA,1,NA,1
Oxalis_corniculata,FOZ13216,1,NA,NA,NA,1
Oxalis_corniculata,KEW37915,1,NA,1,NA,1
Oxalis_cytisoides,FC,1,NA,1,NA,1
Oxalis_debilis,MV62,1,NA,1,NA,1
Oxalis_decipiens,Vasques57,1,NA,1,NA,1
Oxalis_desmodioides,Cabral194,1,NA,1,NA,1
Oxalis_dombey,Cornejo10089,1,NA,1,NA,1
Oxalis_dombey,Cornejo10158,1,NA,1,NA,1
Oxalis_enneaphylla,LZ231,1,NA,NA,NA,1
Oxalis_eriocarpa,ANS1820,NA,NA,1,NA,1
Oxalis_eriocarpa,OM6313,1,NA,NA,NA,1
Oxalis_eriocarpa,MV31,1,NA,1,NA,1
Oxalis_eriocarpa,CONSENSUS,1,NA,1,NA,1
Oxalis_erytrorhiza,FOZ12781,1,NA,NA,NA,NA
Oxalis_famatinae,FOZ11970,1,NA,NA,NA,1
Oxalis_floribunda,OM6243,1,NA,NA,NA,1
Oxalis_frutescens,FOZ11549,NA,NA,NA,NA,1
Oxalis_frutescens,JPC29,1,NA,1,NA,1
Oxalis_fruticosa,Fiaschi4658,1,NA,NA,NA,NA
Oxalis_gardneriana,Scatigna1336,1,NA,1,NA,1
Oxalis_gracilifolia,Cabral193,1,NA,1,NA,1
Oxalis_grisea,Simon2781,1,NA,1,NA,1
Oxalis_hedysaroides,Cogollo2943,NA,NA,1,NA,1
Oxalis_hedysaroides,Cornejo10079,1,NA,1,NA,1
Oxalis_hepatica,FC,1,NA,1,NA,1
Oxalis_hepatica,ANS1800,1,NA,1,NA,1
Oxalis_hispidula,Giussani422,1,NA,NA,NA,NA
Oxalis_jamesonii,GLW28753,NA,NA,1,NA,1
Oxalis_jasminifolia,Pennington12342,1,NA,NA,NA,NA
Oxalis_jasminifolia,Cornejo9331,1,NA,1,NA,1
Oxalis_kollmannii,Manhaes176,1,NA,NA,NA,NA
Oxalis_laxa_var_hispidula,FOZ12608,1,NA,NA,NA,NA
Oxalis_laxa_var_hispidula,FOZ12555,1,NA,NA,NA,1
Oxalis_lomana,Gaspar46,1,NA,NA,1,NA
Oxalis_lomana,Gaspar2,1,1,NA,1,NA
Oxalis_lomana,Gaspar55,1,1,NA,1,NA
Oxalis_lutzii,Fiaschi5596,1,NA,1,NA,NA
Oxalis_megalorrhiza,Gaspar173,1,1,NA,1,NA
Oxalis_micrantha,FOZ12313,NA,NA,NA,NA,1
Oxalis_micrantha,FOZ12428,1,NA,NA,NA,1
Oxalis_micrantha,FOZ12338,NA,NA,NA,NA,1
Oxalis_microcarpa,Cornejo9341,1,NA,1,NA,NA
Oxalis_monochasiata,Fiaschi4585,1,NA,NA,NA,NA
Oxalis_morronei,LZ204,1,NA,NA,NA,1
Oxalis_muscoides,FOZ12256,NA,NA,NA,NA,1
Oxalis_neuwiedii,EMA1336,1,NA,NA,NA,1
Oxalis_neuwiedii,CONSENSUS,1,NA,1,NA,1
Oxalis_neuwiedii_subsp_neuwiedii,Santos749,1,NA,NA,NA,NA
Oxalis_neuwiedii_subsp_neuwiedii,Perdiz174,1,NA,NA,NA,NA
Oxalis_niederleinii,OM6328,1,NA,NA,NA,1
Oxalis_niederleinii,MV190,1,NA,1,NA,1
Oxalis_niederleinii,ANS1828,1,NA,1,NA,1
Oxalis_niederleinii,CONSENSUS,1,NA,1,NA,1
Oxalis_pachyrrhiza,FOZ11802,NA,NA,NA,NA,1
Oxalis_paludosa,MV479,1,NA,1,NA,1
Oxalis_paranaensis,MVC2,1,NA,1,NA,1
Oxalis_pardoensis,Caxambu5990,1,NA,1,NA,1
Oxalis_pataxorum,Cabral196,1,NA,1,NA,1
Oxalis_perdicaria,Giussani423,1,NA,NA,NA,1
Oxalis_pickeringii,Gaspar175,1,NA,1,1,1
Oxalis_pilulifera,Sartor48,NA,NA,1,NA,NA
Oxalis_polymorpha_subsp_polymorpha,Fiaschi4618,1,NA,NA,NA,NA
Oxalis_polymorpha_subsp_tijucana,Fiaschi44722,1,NA,NA,NA,NA
Oxalis_praetexta,FSCPG3,1,NA,1,NA,1
Oxalis_puberula,Rhoden7,1,NA,1,NA,1
Oxalis_pycnophylla,FOZ11747,1,NA,NA,NA,1
Oxalis_pyrenea_var_macrochaeta,Radavelli67,NA,NA,1,NA,1
Oxalis_pyrenea_var_pyrenea,Sartor65,1,NA,1,NA,1
Oxalis_refracta,MV496,1,NA,1,NA,1
Oxalis_rhombeo-ovata,Fiaschi4464,1,NA,NA,NA,NA
Oxalis_rosea,FC,1,NA,1,NA,1
Oxalis_sarmentosa,MVC13,1,NA,NA,NA,1
Oxalis_sarmentosa,AN1849,1,NA,1,NA,1
Oxalis_sarmentosa,ANS1870,1,NA,1,NA,1
Oxalis_sarmentosa,CONSENSUS,1,NA,1,NA,1
Oxalis_sellowiana_forma_sellowiana,Giussani421,1,NA,NA,NA,1
Oxalis_sepium,Radavelli76,NA,NA,1,NA,1
Oxalis_serpens,MVC27,1,NA,1,NA,NA
Oxalis_serpens,PF4503,1,NA,1,NA,1
Oxalis_sp_Lopez_unpub1,OM6349,1,NA,NA,NA,NA
Oxalis_sp_Lopez_unpub2,FOZ12049,1,NA,NA,NA,1
Oxalis_spiralis,FOZ11469,1,NA,NA,NA,NA
Oxalis_spiralis,FOZ11633,1,NA,NA,NA,1
Oxalis_squamata,FOZ12520,1,NA,NA,NA,1
Oxalis_subvilosa,ANS1848,1,NA,1,NA,1
Oxalis_stricta,BR0000013234621,NA,NA,NA,NA,1
Oxalis_tenerrima,MVC30,1,NA,1,NA,1
Oxalis_tijucana,Vasques85,1,NA,1,NA,1
Oxalis_umbraticola,Nery91,NA,NA,1,NA,1
Oxalis_valdiviensis,LZ81,1,NA,NA,NA,1
Oxalis_valdiviensis,LZ128,1,NA,NA,NA,1
Oxalis_veadeirosensis,Fiaschi5330,1,NA,1,NA,1
Oxalis_veadeirosensis,Sartor52,NA,NA,1,NA,NA
