taxon,specimen,ITS,psbJ_petA,trnT_trnL,trnL_trnF
Oxalis_acetosella,Aoki65,LC206092,LC206199,LC206306,LC206413
Oxalis_acetosella,Aoki67,LC206094,LC206201,LC206308,LC206415
Oxalis_acetosella,Aoki69,LC206096,LC206203,LC206310,LC206417
Oxalis_acetosella,Aoki70,LC206098,LC206205,LC206312,LC206419
Oxalis_acetosella,Aoki172,LC206019,LC206127,LC206234,LC206341
Oxalis_acetosella,Aoki198,LC206022,LC206130,LC206237,LC206344
Oxalis_acetosella,Aoki204,LC206023,LC206131,LC206238,LC206345
Oxalis_acetosella,Aoki210,LC206024,LC206132,LC206239,LC206346
Oxalis_acetosella,Aoki222,LC206026,LC206134,LC206241,LC206348
Oxalis_acetosella,Aoki226,LC206027,LC206135,LC206242,LC206349
Oxalis_acetosella,Aoki233,LC206028,LC206136,LC206243,LC206350
Oxalis_acetosella,Aoki248,LC206031,LC206139,LC206246,LC206353
Oxalis_acetosella,Aoki257,LC206032,LC206140,LC206247,LC206354
Oxalis_acetosella,Aoki263,LC206034,LC206142,LC206249,LC206356
Oxalis_acetosella,Aoki270,LC206035,LC206143,LC206250,LC206357
Oxalis_acetosella,Aoki276,LC206036,LC206144,LC206251,LC206358
Oxalis_acetosella,Aoki282,LC206037,LC206145,LC206252,LC206359
Oxalis_acetosella,Aoki289,LC206039,LC206147,LC206254,LC206361
Oxalis_acetosella,Aoki291,LC206040,LC206148,LC206255,LC206362
Oxalis_acetosella,Aoki293,LC206041,LC206149,LC206256,LC206363
Oxalis_acetosella,Aoki294,LC206042,LC206150,LC206257,LC206364
Oxalis_acetosella,Aoki332,LC206049,LC206157,LC206264,LC206371
Oxalis_acetosella,Aoki347,LC206051,LC206159,LC206266,LC206373
Oxalis_acetosella,Aoki402,LC206059,LC206167,LC206274,LC206381
Oxalis_acetosella,Aoki403,LC206060,LC206168,LC206275,LC206382
Oxalis_acetosella,Aoki410,LC206064,LC206172,LC206279,LC206386
Oxalis_acetosella,Aoki411,LC206065,LC206173,LC206280,LC206387
Oxalis_acetosella,Aoki412,LC206066,LC206174,LC206281,LC206388
Oxalis_acetosella,Aoki415,LC206069,LC206177,LC206284,LC206391
Oxalis_acetosella,Aoki76,LC206103,LC206210,LC206317,LC206424
Oxalis_acetosella,DE0BONN34625,LC206083,LC206190,LC206297,LC206404
Oxalis_acetosella,Aoki447,LC206084,LC206191,LC206298,LC206405
Oxalis_acetosella,Aoki450,LC206086,LC206193,LC206300,LC206407
Oxalis_acetosella,Bouchard89216,LC206111,LC206218,LC206325,LC206432
Oxalis_acetosella,Aoki416,LC206070,LC206178,LC206285,LC206392
Oxalis_acetosella,Emshwiller114,JN603193,JN836783,JN836853,JN639537
Oxalis_corymbosa,Aoki16,LC206018,LC206126,LC206233,LC206340
Oxalis_formosana,Aoki181,LC206020,LC206128,LC206235,LC206342
Oxalis_formosana,Aoki239,LC206029,LC206137,LC206244,LC206351
Oxalis_formosana,Aoki24,LC206030,LC206138,LC206245,LC206352
Oxalis_formosana,Aoki428,LC206078,LC206186,LC206293,LC206400
Oxalis_formosana,Aoki434,LC206079,LC206187,LC206294,LC206401
Oxalis_formosana,Aoki435,LC206080,LC206188,LC206295,LC206402
Oxalis_griffithii,Aoki35,LC206055,LC206163,LC206270,LC206377
Oxalis_griffithii,Aoki44,LC206085,LC206192,LC206299,LC206406
Oxalis_griffithii,Aoki45,LC206088,LC206195,LC206302,LC206409
Oxalis_griffithii,Aoki46,LC206089,LC206196,LC206303,LC206410
Oxalis_griffithii,Aoki61,LC206090,LC206197,LC206304,LC206411
Oxalis_griffithii,Aoki63,LC206091,LC206198,LC206305,LC206412
Oxalis_griffithii,Aoki66,LC206093,LC206200,LC206307,LC206414
Oxalis_griffithii,Aoki68,LC206095,LC206202,LC206309,LC206416
Oxalis_griffithii,Aoki71,LC206099,LC206206,LC206313,LC206420
Oxalis_griffithii,Aoki72,LC206100,LC206207,LC206314,LC206421
Oxalis_griffithii,Aoki83,LC206108,LC206215,LC206322,LC206429
Oxalis_griffithii,Aoki84,LC206109,LC206216,LC206323,LC206430
Oxalis_griffithii,Aoki114,LC206006,LC206114,LC206221,LC206328
Oxalis_griffithii,Aoki119,LC206007,LC206115,LC206222,LC206329
Oxalis_griffithii,Aoki123,LC206008,LC206116,LC206223,LC206330
Oxalis_griffithii,Aoki125,LC206009,LC206117,LC206224,LC206331
Oxalis_griffithii,Aoki130,LC206010,LC206118,LC206225,LC206332
Oxalis_griffithii,Aoki135,LC206011,LC206119,LC206226,LC206333
Oxalis_griffithii,Aoki145,LC206012,LC206120,LC206227,LC206334
Oxalis_griffithii,AokiN,LC206013,LC206121,LC206228,LC206335
Oxalis_griffithii,Aoki151,LC206014,LC206122,LC206229,LC206336
Oxalis_griffithii,Aoki153,LC206015,LC206123,LC206230,LC206337
Oxalis_griffithii,Aoki160,LC206016,LC206124,LC206231,LC206338
Oxalis_griffithii,Aoki166,LC206017,LC206125,LC206232,LC206339
Oxalis_griffithii,Aoki218,LC206025,LC206133,LC206240,LC206347
Oxalis_griffithii,Aoki283,LC206038,LC206146,LC206253,LC206360
Oxalis_griffithii,Aoki303,LC206043,LC206151,LC206258,LC206365
Oxalis_griffithii,Aoki310,LC206045,LC206153,LC206260,LC206367
Oxalis_griffithii,Aoki316,LC206046,LC206154,LC206261,LC206368
Oxalis_griffithii,Aoki322,LC206047,LC206155,LC206262,LC206369
Oxalis_griffithii,Aoki326,LC206048,LC206156,LC206263,LC206370
Oxalis_griffithii,Aoki341,LC206050,LC206158,LC206265,LC206372
Oxalis_griffithii,Aoki396,LC206057,LC206165,LC206272,LC206379
Oxalis_griffithii,Aoki397,LC206058,LC206166,LC206273,LC206380
Oxalis_griffithii,Aoki407,LC206061,LC206169,LC206276,LC206383
Oxalis_griffithii,Aoki408,LC206062,LC206170,LC206277,LC206384
Oxalis_griffithii,Aoki409,LC206063,LC206171,LC206278,LC206385
Oxalis_griffithii,Aoki413,LC206067,LC206175,LC206282,LC206389
Oxalis_griffithii,Aoki445,LC206082,LC206189,LC206296,LC206403
Oxalis_griffithii,Aoki185,LC206021,LC206129,LC206236,LC206343
Oxalis_griffithii,Aoki79,LC206104,LC206211,LC206318,LC206425
Oxalis_griffithii,Aoki80,LC206105,LC206212,LC206319,LC206426
Oxalis_griffithii,Aoki357,LC206053,LC206161,LC206268,LC206375
Oxalis_griffithii,Aoki81,LC206106,LC206213,LC206320,LC206427
Oxalis_griffithii,Aoki82,LC206107,LC206214,LC206321,LC206428
Oxalis_griffithii,Aoki414,LC206068,LC206176,LC206283,LC206390
Oxalis_griffithii,Aoki418,LC206071,LC206179,LC206286,LC206393
Oxalis_griffithii,Aoki419,LC206072,LC206180,LC206287,LC206394
Oxalis_griffithii,Aoki421,LC206074,LC206182,LC206289,LC206396
Oxalis_griffithii,Aoki425,LC206075,LC206183,LC206290,LC206397
Oxalis_griffithii,Aoki426,LC206076,LC206184,LC206291,LC206398
Oxalis_kantoensis,Aoki25,LC206033,LC206141,LC206248,LC206355
