taxon,specimen,ITS
Oxalis_acetosella,Walter7182,EU436870
Oxalis_articulata,UnknownN,Z66545
Oxalis_barrelieri,DUB809,EU436866
Oxalis_corniculata,Oberlander0025,EU436867
Oxalis_corniculata,Nie3660,JX445129
Oxalis_corymbosa,DengZhangNie542,JX445130
Oxalis_dolichopoda,Emshwiller292,U74267
Oxalis_griffithii,DengZhangNie546,JX445131
Oxalis_micrantha,Heibl03-092,JN634744
Oxalis_obtriangulata,JNU140,DQ151555
Oxalis_oregana,Olmstead2003-33,JN159893
Oxalis_pachyrrhiza,Emshwiller387,U74275
Oxalis_perdicaria,Botrand0002,EU436878
Oxalis_pes-caprae,Dreyer662,EU436882
Oxalis_stricta,Walter6518,EU436869
Oxalis_triangularis_subsp_triangularis,MO1165,FJ410328
Oxalis_valdiviensis,Botrand0001,EU436873
Oxalis_vulcanicola,MO702,EU436872
Oxalis_wulingensis,DengZhangNie544,JX445132
