taxon,specimen,ITS
Oxalis_unduavensis,Emshwiller168/291/351,U74260
Oxalis_aff_spiralis,Emshwiller184,U74261
Oxalis_bisfracta,Emshwiller366,U74262
Oxalis_andina,Emshwiller315,U74263
Oxalis_boliviana,Emshwiller310,U74264
Oxalis_crassipes,Emshwiller463,U74265
Oxalis_aff_distincta,Emshwiller289/321/447,U74266
Oxalis_dolichopoda,Emshwiller292,U74267
Oxalis_herrerae,Emshwiller459,U74269
Oxalis_longissima,Emshwiller64/247,U74270
Oxalis_melilotoides,Emshwiller190,U74271
Oxalis_mollissima,Emshwiller359/x415,U74272
Oxalis_ortgiesii,Emshwiller458,U74273
Oxalis_oulophora,Emshwiller308,U74274
Oxalis_pachyrrhiza,Emshwiller387,U74275
Oxalis_peduncularis,Emshwiller418,U74276
Oxalis_peduncularis,Emshwiller466,U74277
Oxalis_pes-caprae,Emshwiller125,U74278
Oxalis_regnellii,Emshwiller456,U74279
Oxalis_sp,Emshwiller295,U74280
Oxalis_sp,Emshwiller219,U74281
Oxalis_spiralis,Emshwiller187,U74282
Oxalis_spiralis,Emshwiller249/250,U74283
Oxalis_tuberosa,Emshwiller133/136/140,U74284
Oxalis_vulcanicola,Emshwiller124,U74285
Oxalis_yungasensis,Emshwiller437/350,U74286
Oxalis_aff_tuberosa,Emshwiller260,U74287
Oxalis_aff_tuberosa,Emshwiller284,U74288
Oxalis_latifolia,Emshwiller235,U74289
Oxalis_martiana,Emshwiller445,U74290
