taxon,specimen,ITS,psbJ_petA,trnL_trnF
Oxalis_adpressipila,Kuhlmann6587h,OQ310891,NA,OQ296038
Oxalis_alvimii,Fiaschi4597,OQ310870,OQ295991,OQ296017
Oxalis_bela-vitoriae,Fiaschi4606,OQ310871,OQ295992,OQ296018
Oxalis_bifrons,Fiaschi3633,KC602021,KC602047,KC602074
Oxalis_brasiliensis,Vaio337,JN836768,JN836812,JN836766
Oxalis_capixaba,Costa117,OQ310893,OQ296013,OQ296041
Oxalis_colatinensis,Fiaschi4631,OQ310873,OQ295994,OQ296020
Oxalis_cornicarpa,Fiaschi5428,OQ310886,OQ296007,OQ296034
Oxalis_cornicarpa,Fiaschi5442,OQ310887,OQ296008,OQ296035
Oxalis_cytisoides,Cabral139,OQ310874,OQ295995,OQ296021
Oxalis_densifolia,Cabral93,OQ310875,OQ295996,OQ296022
Oxalis_erosa,Cabral138,OQ310876,OQ295997,OQ296023
Oxalis_fruticosa,Fiaschi4658,OQ310877,OQ295998,OQ296024
Oxalis_grisea,Melo6953,OQ310888,OQ296009,OQ296036
Oxalis_impatiens,Bilk382a,OQ310878,OQ295999,OQ296025
Oxalis_impatiens,Bilk382b,OQ310879,OQ296000,OQ296026
Oxalis_inopinata,Fiaschi5544,OR964281,OR966574,OR966575
Oxalis_itamarajuensis,Fiaschi4657,OQ310895,OQ296015,OQ296043
Oxalis_kollmannii,Fiaschi4663,OQ310872,OQ295993,OQ296019
Oxalis_kuhlmannii,Fiaschi4662,OQ310880,OQ296001,OQ296027
Oxalis_leonii,Costa122,OQ310892,OQ296012,OQ296040
Oxalis_mandioccana,Demuner2096h,OQ310881,NA,OQ296028
Oxalis_mandioccana,Fiaschi4660,OQ310882,OQ296002,OQ296029
Oxalis_mandioccana,Kollmann10803h,NA,OQ296003,OQ296030
Oxalis_mandioccana,Kollmann12975h,OQ310883,OQ296004,OQ296031
Oxalis_mandioccana,Costa114,OQ310884,OQ296005,OQ296032
Oxalis_mandioccana,Richetti29,OQ310885,OQ296006,OQ296033
Oxalis_occulta,Fiaschi5058,OQ310894,OQ296014,OQ296042
Oxalis_sciophila,Costa118,OQ310890,OQ296011,OQ296039
Oxalis_suborbiculata,Cabral111,OQ310896,OQ296016,OQ296044
