taxon,specimen,ITS,psbJ_petA,trnL_trnF,trnT_trnL
Oxalis_corniculata,Emshwiller793,JN603192,JN836781,EU437126,JN836851
Oxalis_oregana,Olmstead2003-33,JN159893,JN836782,JN639536,JN836852
Oxalis_acetosella,Emshwiller114,JN603193,JN836783,JN639537,JN836853
Oxalis_rosea,Lammers7916,JN603194,JN836784,JN639538,JN836854
Oxalis_laxa_subsp_hispidissima,Emshwiller1111,JN603195,NA,JN639539,JN836855
Oxalis_megalorrhiza,Emshwiller773,JN603196,NA,EU437139,JN836856
Oxalis_ptychoclada,Emshwiller916,JN603197,JN836786,EU437134,JN836857
Oxalis_tuberosa,Emshwiller50_02,JN603198,JN836787,JN639540,NA
Oxalis_articulata_forma_crassipes,Emshwiller463,JN618506,JN836788,EU437146,JN836859
Oxalis_articulata_subsp_rubra,Emshwiller146,JN618507,JN836789,EU437147,JN836860
Oxalis_floribunda,Vaio358,JN836767,JN836790,JN836758,JN836861
Oxalis_linarantha,Wasum3369,JN618508,NA,JN639541,JN836862
Oxalis_incarnata,Emshwiller149,JN618509,JN836791,JN639542,JN836863
Oxalis_pes-caprae,Emshwiller608,JN618510,JN836792,EU437145,NA
Oxalis_adenophylla,GardnerADEPH1,JN618511,JN836802,JN639550,JN836872
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,JN618512,JN836793,EU437141,JN836864
Oxalis_alpina,Gardner45,JN618513,JN836794,JN639543,JN836865
Oxalis_alpina,Weller956,JN618515,JN836796,JN639545,JN836867
Oxalis_alpina,Weller976,JN618514,JN836795,JN639544,JN836866
Oxalis_cf_alpina,Weller979,JN618565,JN836846,JN639584,JN836913
Oxalis_argentina,Emshwiller235,JN618516,JN836797,EU437143,NA
Oxalis_bipartita_subsp_bipartita,Vaio59,JN836777,NA,JN836764,NA
Oxalis_bipartita_subsp_bipartita,Vaio320,JN836778,JN836810,NA,JN836880
Oxalis_brasiliensis,EmshwillerBRAS2,JN618520,JN836798,JN639546,JN836868
Oxalis_brasiliensis,Vaio337,JN836768,JN836812,JN836766,MV337
Oxalis_brasiliensis,Vaio55,JN836769,NA,NA,NA
Oxalis_brasiliensis,Vaio70,JN836770,NA,NA,NA
Oxalis_caerulea,Gardner39,JN618517,JN836800,JN639548,JN836870
Oxalis_caerulea,Gardner47,JN618518,JN836801,JN639549,JN836871
Oxalis_cardenasiana,Wood22331,JN618519,JN836799,JN639547,JN836869
Oxalis_debilis_var_debilis,Emshwiller171,JN618521,JN836803,EU437144,JN836873
Oxalis_debilis_var_debilis,Emshwiller445,NA,JN836804,JN639551,JN836874
Oxalis_debilis_var_corymbosa,Vaio62,JN836774,JN836806,JN836760,JN836876
Oxalis_decaphylla,Gardner29,JN618522,JN836813,JN639552,JN836882
Oxalis_decaphylla,Rodriguez2610,JN618524,JN836820,JN639559,JN836889
Oxalis_discolor,Gardner35,JN618525,JN836821,JN639560,JN836890
Oxalis_divergens,Gardner58,JN618527,JN836822,JN639561,JN836891
Oxalis_divergens,Gardner62,JN618526,JN836814,JN639553,JN836883
Oxalis_drummondii,Weller965,JN618528,JN836823,JN639562,JN836892
Oxalis_eriolepis,Emshwiller155,JN618530,JN836824,JN639563,JN836893
