taxon,specimen,trnL_trnF
Oalis_urbaniana,K_Oberlander_32,AJ582362
Oxalis_adspersa,L_Dreyer_635,AJ582290
Oxalis_argillacea,L_Dreyer_786,AJ582294
Oxalis_argyrophylla,K_Oberlander_40,AJ582295
Oxalis_aridicola,L_Dreyer_672,AJ582296
Oxalis_bifida,L_Dreyer_608,AJ582297
Oxalis_blastorrhiza,L_Dreyer_788,AJ582298
Oxalis_burkei,L_Dreyer_618,AJ582299
Oxalis_burtoniae,K_Oberlander_31,AJ582300
Oxalis_campicola,L_Dreyer_780,AJ582301
Oxalis_campylorrhiza,L_Dreyer_696,AJ582302
Oxalis_capillacea,L_Dreyer_627,AJ582303
Oxalis_capillacea,L_Dreyer_625,AJ582304
Oxalis_caprina,K_Oberlander_1,AJ582305
Oxalis_cf_helicoides,L_Dreyer_688,AJ582306
Oxalis_ciliaris,L_Dreyer_613,AJ582307
Oxalis_commutata,L_Dreyer_606,AJ582308
Oxalis_comptonii,L_Dreyer_802,AJ582309
Oxalis_corniculata,K_Oberlander_25,AJ582310
Oxalis_crocea,L_Dreyer_693,AJ582311
Oxalis_dentata,Dreyer_and_Oberlander_8,AJ582312
Oxalis_dregei,K_Oberlander_19,AJ582313
Oxalis_ebracteata,L_Dreyer_644,AJ582314
Oxalis_eckloniana,L_Dreyer_628,AJ582315
Oxalis_engleriana,K_Oberlander_10,AJ582316
Oxalis_exserta,L_Dreyer_686,AJ582317
Oxalis_flava,L_Dreyer_614,AJ582318
Oxalis_flaviuscula,L_Dreyer_701,AJ582319
Oxalis_furcillata,K_Oberlander_22,AJ582320
Oxalis_giftbergensis,L_Dreyer_798,AJ582321
Oxalis_glabra,Dreyer_and_Oberlander_13,AJ582322
Oxalis_grammophylla,L_Dreyer_670,AJ582323
Oxalis_hirta,L_Dreyer_646,AJ582324
Oxalis_knuthiana,L_Dreyer_721,AJ582325
Oxalis_latifolia,K_Oberlander_23,AJ582326
Oxalis_leptogramma,L_Dreyer_617,AJ582327
Oxalis_lichenoides,L_Dreyer_785,AJ582328
Oxalis_linearis,L_Dreyer_679,AJ582329
Oxalis_louisae,L_Dreyer_708,AJ582330
Oxalis_luteola,K_Oberlander_26,AJ582331
Oxalis_melanosticta,L_Dreyer_622,AJ582332
Oxalis_minuta_var_callosa,Kumwenda_and_Dreyer_1,AJ582333
Oxalis_minuta_var_minuta,L_Dreyer_727,AJ582334
Oxalis_monophylla,Dreyer_and_Oberlander_9,AJ582335
Oxalis_namaquana,L_Dreyer_713,AJ582336
Oxalis_nidulans,L_Dreyer_752,AJ582337
Oxalis_obtusa,L_Dreyer_691,AJ582338
Oxalis_oculifera,L_Dreyer_799,AJ582339
Oxalis_oligophylla,L_Dreyer_797,AJ582340
Oxalis_oreophila,L_Dreyer_666,AJ582341
Oxalis_pallens,L_Dreyer_654,AJ582342
Oxalis_pes-caprae,L_Dreyer_662,AJ582343
Oxalis_pocockiae,L_Dreyer_626,AJ582344
Oxalis_polyphylla,Dreyer_and_Oberlander_10,AJ582345
Oxalis_primuloides,L_Dreyer_711,AJ582346
Oxalis_pulchella,L_Dreyer_612,AJ582347
Oxalis_punctata,Dreyer_and_Oberlander_11,AJ582367
Oxalis_purpurascens,L_Dreyer_634,AJ582348
Oxalis_purpurea,K_Oberlander_24,AJ582349
Oxalis_pusilla,L_Dreyer_746,AJ582350
Oxalis_reclinata,L_Dreyer_718,AJ582351
Oxalis_salteri,L_Dreyer_784,AJ582352
Oxalis_stenopetala,L_Dreyer_675,AJ582353
Oxalis_stenopetala,L_Dreyer_N,AJ582354
Oxalis_stictocheila,L_Dreyer_749,AJ582355
Oxalis_tenella,L_Dreyer_639,AJ582356
Oxalis_tenuifolia,K_Oberlander_27,AJ582357
Oxalis_tenuipes,L_Dreyer_800,AJ582358
Oxalis_tenuis,L_Dreyer_793,AJ582359
Oxalis_tomentosa,Dreyer_and_Oberlander_12,AJ582360
Oxalis_truncatula,L_Dreyer_605,AJ582361
Oxalis_versicolor,K_Oberlander_34,AJ582363
Oxalis_viscosa,L_Dreyer_642,AJ582364
Oxalis_xantha,L_Dreyer_671,AJ582365
