taxon,specimen,ITS,trnL_trnF
Oxalis_acetosella,Walter7182,EU436870,EU437036
Oxalis_articulata_forma_crassipes,Emshwiller146,NA,EU437146
Oxalis_articulata,UnknownN,Z66545,NA
Oxalis_barrelieri,DBellstedt809,EU436866,EU437033
Oxalis_brasiliensis,Holmes0008,EU436879,EU437044
Oxalis_cf_megalorrhiza,Dreyer809,EU436871,EU437037
Oxalis_corniculata,Emshwiller793,NA,EU437126
Oxalis_corniculata,Oberlander0025,EU436867,NA
Oxalis_debilis_var_debilis,Emshwiller171,NA,EU437144
Oxalis_debilis_var_corymbosa,Emshwiller445,U74290,NA
Oxalis_dillenii,Walter6565,EU436868,NA
Oxalis_dillenii,Emshwiller1160,NA,AJ582310
Oxalis_hypsophila,Dreyer805,EU436874,EU437040
Oxalis_latifolia,Oberlander0023,EU436875,AJ582326
Oxalis_micrantha,Emshwiller744,AF470234,EU437140
Oxalis_pachyrrhiza,Emshwiller387,U74275,EU437138
Oxalis_perdicaria,Botrand0002,EU436878,EU437043
Oxalis_spiralis,Emshwiller590,NA,EU437130
Oxalis_spiralis,Emshwiller187,AF098977,NA
Oxalis_stricta,Walter6518,EU436869,EU437035
Oxalis_tetraphylla,Holmes0009,EU436877,EU437042
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,NA,EU437141
Oxalis_triangularis_subsp_triangularis,MO1165,FJ410328,NA
Oxalis_valdiviensis,Botrand0001,EU436873,EU437039
Oxalis_virgata,Emshwiller292,U74267,EU437131
Oxalis_vulcanicola,MO702,EU436872,EU437038
Oxalis_adspersa,Dreyer635,EU436936,AJ582290
Oxalis_aridicola,Dreyer672,EU436977,AJ582296
Oxalis_campylorrhiza,Dreyer696,EU436947,AJ582302
Oxalis_caprina,DreyerOberlander0001,EU436892,AJ582305
Oxalis_commutata,Dreyer606,EU436898,AJ582308
Oxalis_dentata,Cilliers0004,EU436888,AJ582312
Oxalis_dregei,Mucina210903/11,EU436930,AJ582313
Oxalis_ebracteata,Dreyer644,EU436990,AJ582314
Oxalis_eckloniana,Dreyer628,EU437025,AJ582315
Oxalis_engleriana,Oberlander0010,EU436961,AJ582316
Oxalis_grammophylla,Dreyer670,EU437016,AJ582323
Oxalis_hirta,Dreyer646,EU436971,AJ582324
Oxalis_lichenoides,Dreyer785,EU436919,AJ582328
Oxalis_linearis,Dreyer679,EU436972,AJ582329
Oxalis_monophylla,DreyerOberlander0003,EU436927,AJ582335
Oxalis_obtusa,Dreyer691,EU436922,AJ582338
Oxalis_oculifera,Dreyer799,EU436953,AJ582339
Oxalis_oligophylla,Dreyer797,EU437023,AJ582340
Oxalis_oreophila,Dreyer666,EU436975,AJ582341
Oxalis_pes-caprae,Dreyer662,EU436882,AJ582343
Oxalis_pulchella,Dreyer612,EU436907,AJ582347
Oxalis_purpurea,Oberlander0024,EU436902,AJ582349
Oxalis_reclinata,Dreyer688,FJ410329,FJ410330
Oxalis_salteri,Dreyer784,EU436932,AJ582352
Oxalis_stenopetala,Dreyer675,EU436983,AJ582353
Oxalis_tenella,Dreyer639,EU436978,AJ582356
Oxalis_urbaniana,Bytebier_2015,EU436999,AJ582362
Oxalis_versicolor,Oberlander0034,EU437006,AJ582363
Oxalis_viscosa,Dreyer642,EU436949,AJ582364
Oxalis_xantha,Dreyer671,EU436980,AJ582365
