taxon,specimen,ITS,trnL_trnF,trnS_trnG
Oxalis_sp,Mannheimer2591,EU436885,EU437047,EU437174
Oxalis_cf_canaliculata,BayerN,EU436946,EU437088,EU437232
Oxalis_acetosella,Walter7182,EU436870,EU437036,EU437159
Oxalis_adenodes,Dreyer716,EU436903,EU437060,EU437191
Oxalis_adspersa,Dreyer635,EU436936,AJ582290,EU437223
Oxalis_ambigua,Oberlander0140,EU436905,EU437061,EU437193
Oxalis_amblyodonta,Bayer7397,EU437007,EU437116,EU437293
Oxalis_amblyosepala,Oberlander0168,EU436982,EU437105,EU437268
Oxalis_annae,Mucina170903/3,EU436920,EU437072,EU437208
Oxalis_argillacea,Dreyer786,EU436940,AJ582294,EU437227
Oxalis_argyrophylla,Oberlander0040,EU437005,AJ582295,EU437291
Oxalis_aridicola,Dreyer672,EU436977,AJ582296,EU437263
Oxalis_attaquana,Bayer7007,EU436918,EU437071,EU437206
Oxalis_aurea,Dreyer771,EU436935,EU437080,EU437222
Oxalis_barrelieri,Bellstedt809,EU436866,EU437033,EU437155
Oxalis_bifida,Dreyer608,EU437017,AJ582297,EU437303
Oxalis_bifurca,Bellstedt764,EU436965,EU437100,EU437251
Oxalis_blastorrhiza,Dreyer788,EU436974,AJ582298,EU437260
Oxalis_bowiei,MO502cfbowiei,EU436895,EU437055,EU437183
Oxalis_brasiliensis,Holmes0008,EU436879,EU437044,EU437168
Oxalis_bullulata,Dreyer792,EU436908,EU437063,EU437196
Oxalis_burkei,Dreyer618,EU437029,AJ582299,NA
Oxalis_burtoniae,Oberlander0031,EU437008,AJ582300,EU437294
Oxalis_callosa,Oberlander0120,EU436973,EU437103,EU437259
Oxalis_camelopardalis,Oberlander0071,EU437012,EU437119,EU437298
Oxalis_campicola,Dreyer780,EU436981,AJ582301,EU437267
Oxalis_campylorrhiza,Dreyer696,EU436947,AJ582302,EU437233
Oxalis_aff_campylorrhiza,Dreyer689,EU436948,EU437089,EU437234
Oxalis_capillacea,Dreyer625,EU437013,AJ582304,EU437299
Oxalis_caprina,DreyerOberlander0001,EU436892,AJ582305,EU437180
Oxalis_cathara,MO582cathara,EU436931,EU437077,EU437218
Oxalis_ciliaris,Dreyer613,EU436979,AJ582307,EU437265
Oxalis_clavifolia,Oberlander0141,EU436951,EU437090,EU437237
Oxalis_commutata,Dreyer606,EU436898,AJ582308,EU437186
Oxalis_comosa,Mucina220901/30A,EU436954,EU437091,EU437240
Oxalis_compressa,BayerOberlander0009,EU436883,EU437046,EU437172
Oxalis_comptonii,Dreyer802,EU436985,AJ582309,EU437272
Oxalis_confertifolia,Oberlander0075,EU437011,EU437118,EU437297
Oxalis_convexula,Oberlander0014,EU436913,EU437067,EU437201
Oxalis_copiosa,Oberlander0021,EU436887,EU437049,EU437176
Oxalis_corniculata,Oberlander0025,EU436867,AJ582310,EU437156
Oxalis_crocea,Dreyer693,EU436950,AJ582311,EU437236
Oxalis_cuneata,Dreyer791,EU436969,EU437101,EU437255
Oxalis_densa,Oberlander0169,EU436921,EU437073,EU437209
Oxalis_dentata,Cilliers0004,EU436888,AJ582312,EU437177
Oxalis_depressa,Oberlander0085,EU436909,EU437064,EU437197
Oxalis_deserticola,Oberlander0114,EU436939,EU437083,EU437226
Oxalis_dichotoma,Oberlander0052,EU436893,EU437053,EU437181
Oxalis_dilatata,BayerOberlander0014,EU436910,EU437065 ,EU437198
Oxalis_dillenii,Walter6565,EU436868,EU437034,EU437157
Oxalis_dines,Helme1355,EU436943,EU437085,NA
Oxalis_disticha,Oberlander0159,EU436942,EU437084,EU437229
