taxon,specimen,ITS,psbJ_petA,trnL_trnF,trnT_trnL
Oxalis_articulata_f_crassipes,Emshwiller463,JN618506,JN836788,NA,JN836859
Oxalis_articulata_subsp_articulata,Vaio505,KX249612,KX249662,KX249636,KX249639
Oxalis_articulata_subsp_rubra,Vaio226,KX249615,KX249663,KX249640,KX249641
Oxalis_sp_Betete,Vaio297,KX249631,KX249668,KX249657,KX249658
Oxalis_sp_Cuervos,Vaio294,KX249632,KX249669,KX249659,KX249660
Oxalis_floribunda_subsp_floribunda,Vaio358,JN836767,JN836790,JN836758,JN836861
Oxalis_floribunda_subsp_ostenii,Vaio388,KX249623,KX249665,KX249647,KX249648
Oxalis_lasiopetala,Vaio87,KX249626,KX249666,KX249651,KX249652
Oxalis_linarantha,Wasum3369,NA,JN618508,JN639541,JN836862
Oxalis_linarantha,Fiaschi3710,KX249629,NA,NA,NA
Oxalis_monticola,Vaio20,KX249630,KX249667,KX249655,KX249656
Oxalis_triangularis_subsp_papilionacea,Emshwiller456,JN618512,JN836793,EU437141,JN836864
Oxalis_geralensis,UnknownN,KX249625,NA,KX249650,KX249649
Oxalis_perdicaria,Vaio79,JN836772,JN836808,JN836762,JN836878
Oxalis_hernandezii,Gardner26,JN618533,JN836828,JN639567,JN836896
Oxalis_flava,Dreyer614,EU436924,NA,AJ582318,EU437372
Oxalis_incarnata,Emshwiller149,JN618509,JN836791,JN639542,JN836863
Oxalis_pes-caprae,Emshwiller608,JN618510,JN836792,EU437145,NA
Oxalis_adenophylla,GardnerADEPH1,JN618511,JN836802,JN639550,JN836872
Oxalis_laciniata,HeiblMunozToro04-047,JN634737,NA,JN620134,JN620097
Oxalis_enneaphylla,HeiblMunozToro04-047,JN634732,NA,JN620127,JN620092
Oxalis_rosea,Heibl03-014,JN634751,JN836784,JN620150,JN836854
