species,specimen,ITS,psbJ_petA,trnT_trnL,trnL_trnF
Oxalis_alstonii,Unknown_Collector_N,MH705067,MH705088,MH705080,EU437129
Oxalis_articulata_subsp_articulata,M_Vaio_242,KX249610,KX249681,NA,KX249638
Oxalis_articulata_subsp_rubra,M_Vaio_226,NA,NA,KX249641,NA
Oxalis_barrelieri,Unknown_Collector_N,KC602027,KC602052,KC602107,KC602081
Oxalis_blackii,TS_Costa_115,MH705068,MH705089,MH705081,MH705073
Oxalis_colatinensis,P_Fiaschi_4625,MH705069,MH705090,MH705082,MH705074
Oxalis_cratensis,M_Vaio_404,NA,MH705091,MH705083,MH705075
Oxalis_erosa,Unknown_Collector_N,MH705070,MH705092,MH705084,MH705076
Oxalis_floribunda,M_Vaio_358,JN836767,JN836790,JN836861,JN836758
Oxalis_frutescens,JPC_29,MH705071,MH705093,MH705085,MH705077
Oxalis_neuwiedii,EMA_1336,MH705072,MH705094,MH705086,MH705078
Oxalis_psoraleoides,LP_Felix_14001,KC602030,KC602054,KC602109,EU437128
Oxalis_rhombeo-ovata,M_Vaio_526,KC602031,NA,KC602110,KC602084
Oxalis_umbraticola,Unknown_Collector_N,NA,MH705095,MH705087,MH705079
