taxon,specimen,ITS,psbJ_petA,trnL_trnF
Oxalis_articulata_subsp_articulata,Vaio242,KX249610,KX249681,KX249638
Oxalis_nelsonii,Gardner66,JN618559,N836841,JN639580J
Oxalis_sarmentosa,Nuernberg1849,OQ623654,OR099859,OR099882
Oxalis_caesariata,Fiaschi5273,PP175926,PP179507,PP179511
Oxalis_caesariata,Radavelli62,PP175925,PP179506,PP179510
Oxalis_densifolia,Cabral93,OQ310875,OQ295996,OQ296022
Oxalis_gardneriana,Scatigna1336,PQ847008,PQ846555,NA
Oxalis_veadeirosensis,Fiaschi5330,PQ847009,PQ846557,PQ846558
Oxalis_mandioccana,Richetti29,OQ310885,OQ296006,OQ296033
Oxalis_blackii,Costa115,MH705068,MH705089,MH705073
Oxalis_psoraleoides_subsp_insipida,CabralIS4,OR094469,OR099857,NA
Oxalis_grisea,Vaio512,KC602025,KC602050,KC602079
Oxalis_barrelieri,Vaio517,KC602027,KC602052,KC602081
Oxalis_cytisoides,Cabral139,OQ310874,OQ295995,OQ296021
Oxalis_hyalotricha_subsp_hyalotricha,Cabral170,OQ623647,OR099849,NA
Oxalis_pyrenea_var_macrochaeta,Cabral96,OQ623651,OR099858,OR099881
Oxalis_pyrenea_var_macrochaeta,Radavelli67,NA,PP179508,PP179512
Oxalis_pyrenea_var_pyrenea,Cabral103,NA,OR099858,OR099881
Oxalis_pyrenea_var_pyrenea,Sartor65,PP175927,PP179509,PP179513
Oxalis_sellowii,Cabral109,OQ623655,OR099860,OR099883
Oxalis_suborbiculata,Cabral111,OQ310896,OQ296016,OQ296044
