species,specimen,ITS,petA_psbJ,trnL_trnF
Oxalis_densifolia,FS_Cabral_93,OQ310875,OQ295996,OQ296022
Oxalis_zamorana,H_Balslev_6515,OQ623657,NA,OR099886
Oxalis_zamorana,JE_Madsen_75130,OQ623658,OR099863,NA
Oxalis_alvimii,P_Fiaschi_4597,OQ310870,OQ295991,OQ296017
Oxalis_mandioccana,E_Richetti_29,OQ310885,OQ296006,OQ296033
Oxalis_capixaba,TS_Costa_117,OQ310893,OQ296013,OQ296041
Oxalis_sciophila,TS_Costa_118,OQ310890,OQ296011,OQ296039
Oxalis_leonii,TS_Costa_122,OQ310892,OQ296012,OQ296040
Oxalis_occulta,P_Fiaschi_5058,OQ310894,OQ296014,OQ296042
Oxalis_fruticosa,P_Fiaschi_4658,OQ310877,OQ295998,OQ296024
Oxalis_glaucescens,LP_Félix_13539,KC602029,KC602053,KC602083
Oxalis_glaucescens,PHA_Melo_6630,NA,OR099844,OR099870
Oxalis_alstonii,M_Vaio_413,MH705067,MH705088,EU437129
Oxalis_alstonii,IG_Costa_882,OQ623639,OR099837,OR099864
Oxalis_alstonii,P_Fiaschi_5180,OQ623644,OR099846,NA
Oxalis_blackii,P_Fiaschi_4661,OQ623641,OR099839,NA
Oxalis_blackii,TS_Costa_115,MH705068,MH705089,MH705073
Oxalis_colatinensis,P_Fiaschi_4625,MH705069,MH705090,MH705074
Oxalis_colatinensis,P_Fiaschi_4631,OQ310873,OQ295994,OQ296020
Oxalis_kollmannii,P_Fiaschi_4663,OQ310872,OQ295993,OQ296019
Oxalis_neuwiedii,EM_Almeida_1336,MH705072,MH705094,MH705078
Oxalis_polymorpha_var_cauliflora,E_Richetti_70,OQ623652,OR099854,OR099878
Oxalis_animarum,P_Fiaschi_4591,OQ623653,OR099855,OR099879
Oxalis_umbraticola,Unknown_Collector_N,NA,MH705095,MH705079
Oxalis_erosa,Unknown_Collector_N,MH705070,MH705092,MH705076
Oxalis_erosa,FS_Cabral_138,OQ310876,OQ295997,OQ296023
Oxalis_psoraleoides_subsp_insipida,G_Antar_1317,NA,OR099856,OR099880
Oxalis_psoraleoides_subsp_insipida,FS_Cabral_IS4,OR094469,OR099857,NA
Oxalis_psoraleoides_subsp_insipida,M_Vaio_431,KC602030,KC602054,NA
Oxalis_rhombeo-ovata,M_Vaio_526,KC602031,NA,KC602084
Oxalis_ciliata,FS_Cabral_124,NA,OR099841,OR099867
Oxalis_cordata,FS_Cabral_125,NA,OR099842,OR099868
Oxalis_goyazensis,FS_Cabral_100,OQ623643,OR099845,OR099871
Oxalis_grisea,M_Vaio_512,KC602025,KC602050,KC602079
Oxalis_hirsutissima,JMP_Cordeiro_987,OQ623646,NA,OR099874
Oxalis_physocalyx,FS_Cabral_172,OQ623650,OR099852,NA
Oxalis_physocalyx,PHA_Melo_6953,OQ310888,OQ296009,OQ296036
Oxalis_praetexta,FS_Cabral_159,OQ310889,OQ296010,OQ296037
Oxalis_barrelieri,M_Vaio_517,KC602027,KC602052,KC602081
Oxalis_cratensis,FS_Cabral_134,NA,OR099843,OR099869
Oxalis_cytisoides,FS_Cabral_139,OQ310874,OQ295995,OQ296021
Oxalis_diamantinae,E_Richetti_61,OQ623649,OR099851,OR099876
Oxalis_divaricata,LP_Félix_13386,KC602028,KC602055,KC602082
Oxalis_frutescens,JPC_29,MH705071,MH705093,MH705077
Oxalis_frutescens,M_Vaio_426,KC602026,KC602051,KC602080
Oxalis_hedysarifolia,EM_Almeida_1980,OQ623642,OR099840,OR099866
Oxalis_hyalotricha_subsp_borealis,E_Richetti_65,NA,OR099848,OR099873
Oxalis_hyalotricha_subsp_borealis,PHA_Melo_4854,OQ623648,OR099850,OR099875
Oxalis_hyalotricha_subsp_hyalotricha,FS_Cabral_170,OQ623647,OR099849,NA
Oxalis_pyrenea_var_macrochaeta,FS_Cabral_96,OQ623651,OR099858,OR099881
Oxalis_sellowii,FS_Cabral_109,OQ623655,OR099860,OR099883
Oxalis_suborbiculata,FS_Cabral_110,OQ623656,OR099861,OR099884
Oxalis_suborbiculata,FS_Cabral_111,OQ310896,OQ296016,OQ296044
Oxalis_suborbiculata,FS_Cabral_114,OR099885,NA,OR099862
Oxalis_acetosella,E_Emshwiller_114,JN603193,JN836783,JN639537
Oxalis_articulata_subsp_articulata,M_Vaio_242,KX249610,KX249681,KX249638
Oxalis_articulata_subsp_rubra,M_Vaio_226,KX249615,KX249679,KX249640
Oxalis_atacamensis,C_Heibl_01-54,JN634724,NA,JN620121
Oxalis_bifrons,P_Fiaschi_3633,KC602021,KC602047,KC602074
Oxalis_bipartita,M_Vaio_320,JN836778,JN836810,NA
Oxalis_brasiliensis,M_Vaio_337,JN836768,JN836812,JN836766
Oxalis_caesia,C_Heibl_02-12,JN634727,NA,JN620124
Oxalis_cinerea,C_Heibl_03-95,JN634728,NA,JN620125
Oxalis_conorrhiza,M_Vaio_206,NA,KC602042,KC602068
Oxalis_corniculata,A_Gardner_AGWS1,KC602004,KC602032,KC602056
Oxalis_decaphylla,A_Gardner_29,JN618522,JN836813,JN639552
Oxalis_debilis,M_Vaio_62,JN836774,JN836806,JN836760
Oxalis_enneaphylla,C_Heibl_Munoz_04-45,JN634732,NA,JN620127
Oxalis_eriocarpa,M_Vaio_31,KC602020,KC602046,KC602073
Oxalis_geralensis,Unknown_Collector_N,KX249625,NA,KX249650
Oxalis_hepatica,A_Nuernberg_1800,OQ623645,OR099847,OR099872
Oxalis_holosericea,C_Heibl_P_Fiaschianzelt_05-25,JN634734,NA,JN620130
Oxalis_hypsophila,C_Heibl_P_Fiaschianzelt_05-40,JN634735,NA,JN620131
Oxalis_incana,C_Heibl_P_Fiaschianzelt_05-45,JN634736,NA,JN620132
Oxalis_linarantha,RA_Wasum_3369,JN618508,NA,JN639541
Oxalis_loricata,Unknown_Collector_N,JN634741,NA,JN620137
Oxalis_nelsonii,A_Gardner_66,JN618559,JN836841,JN639580
Oxalis_pachyrrhiza,M_Weingend_8479,JN634747,NA,JN620144
Oxalis_palmifrons,MO824,FJ211166,NA,KC329489
Oxalis_pampeana,A_Nuernberg_1875,OQ623640,OR099838,OR099865
Oxalis_paranaenses,M_Vaio_MVC2,KC602024,KC602049,KC602076
Oxalis_pes-caprae,E_Emshwiller_608,JN618510,JN836792,EU437145
Oxalis_pseudocernua,Unknown_Collector_N,EU436880,NA,EU437045
Oxalis_ptychoclada,E_Emshwiller_916,JN603197,JN836786,EU437134
Oxalis_purpurea,MO300,FJ211171,NA,KC329488
Oxalis_rosea,T_Lammers_7916,JN603194,JN836784,JN639538
Oxalis_sarmentosa,M_Vaio_MVC13,KC602022,KC602048,KC602075
Oxalis_sarmentosa,A_Nuernberg_1849,OQ623654,OR099859,OR099882
Oxalis_sellowiana,M_Vaio_73,JN836780,JN836805,JN836759
Oxalis_triangularis,E_Emshwiller_456,JN618512,JN836793,EU437141
Oxalis_tuberosa,E_Emshwiller_50_02,JN603198,JN836787,KC602077
