species,specimen,ITS,psbJ_petA,trnL_trnF,trnT_trnL
Oxalis_corniculata,E_Emshwiller_793,JN603192,JN836781,EU437126,JN836851
Oxalis_oregana,R_Olmstead_2003-33,JN159893,JN836782,JN639536,JN836852
Oxalis_acetosella,E_Emshwiller_114,JN603193,JN836783,JN639537,JN836853
Oxalis_rosea,TG_Lammers_7916,JN603194,JN836784,JN639538,JN836854
Oxalis_laxa_subsp_hispidissima,E_Emshwiller_1111,JN603195,NA,JN639539,JN836855
Oxalis_megalorrhiza,E_Emshwiller_773,JN603196,NA,EU437139,JN836856
Oxalis_ptychoclada,E_Emshwiller_916,JN603197,JN836786,EU437134,JN836857
Oxalis_tuberosa,E_Emshwiller_50_02,JN603198,JN836787,JN639540,NA
Oxalis_articulata_f_crassipes,E_Emshwiller_463,JN618506,JN836788,EU437146,JN836859
Oxalis_articulata_subsp_rubra,E_Emshwiller_146,JN618507,JN836789,EU437147,JN836860
Oxalis_floribunda,M_Vaio_358,JN836767,JN836790,JN836758,JN836861
Oxalis_linarantha,R_Wasum_3369,JN618508,NA,JN639541,JN836862
Oxalis_incarnata,E_Emshwiller_149,JN618509,JN836791,JN639542,JN836863
Oxalis_pes-caprae,E_Emshwiller_608,JN618510,JN836792,EU437145,NA
Oxalis_adenophylla,A_Gardner_ADEPH1,JN618511,JN836802,JN639550,JN836872
Oxalis_triangularis_subsp_papilionacea,E_Emshwiller_456,JN618512,JN836793,EU437141,JN836864
Oxalis_alpina,A_Gardner_45,JN618513,JN836794,JN639543,JN836865
Oxalis_alpina,S_Weller_956,JN618515,JN836796,JN639545,JN836867
Oxalis_alpina,S_Weller_976,JN618514,JN836795,JN639544,JN836866
Oxalis_cf_alpina,S_Weller_979,JN618565,JN836846,JN639584,JN836913
Oxalis_argentina,E_Emshwiller_235,JN618516,JN836797,EU437143,NA
Oxalis_bipartita_subsp_bipartita,M_Vaio_59,JN836777,NA,JN836764,NA
Oxalis_bipartita_subsp_bipartita,M_Vaio_320,JN836778,JN836810,NA,JN836880
Oxalis_brasiliensis,E_Emshwiller_BRAS2,JN618520,JN836798,JN639546,JN836868
Oxalis_brasiliensis,M_Vaio_337,JN836768,JN836812,JN836766,MV337
Oxalis_brasiliensis,M_Vaio_55,JN836769,NA,NA,NA
Oxalis_brasiliensis,M_Vaio_70,JN836770,NA,NA,NA
Oxalis_caerulea,A_Gardner_39,JN618517,JN836800,JN639548,JN836870
Oxalis_caerulea,A_Gardner_47,JN618518,JN836801,JN639549,JN836871
Oxalis_cardenasiana,JRI_Wood_22331,JN618519,JN836799,JN639547,JN836869
Oxalis_debilis_var_debilis,E_Emshwiller_171,JN618521,JN836803,EU437144,JN836873
Oxalis_debilis_var_debilis,E_Emshwiller_445,NA,JN836804,JN639551,JN836874
Oxalis_debilis_var_corymbosa,M_Vaio_62,JN836774,JN836806,JN836760,JN836876
Oxalis_decaphylla,A_Gardner_29,JN618522,JN836813,JN639552,JN836882
Oxalis_decaphylla,A_Rodriguez_2610,JN618524,JN836820,JN639559,JN836889
Oxalis_discolor,A_Gardner_35,JN618525,JN836821,JN639560,JN836890
Oxalis_divergens,A_Gardner_58,JN618527,JN836822,JN639561,JN836891
Oxalis_divergens,A_Gardner_62,JN618526,JN836814,JN639553,JN836883
Oxalis_drummondii,S_Weller_965,JN618528,JN836823,JN639562,JN836892
Oxalis_eriolepis,E_Emshwiller_155,JN618530,JN836824,JN639563,JN836893
Oxalis_eriolepis,E_Emshwiller_559,JN618529,JN836815,JN639554,JN836884
Oxalis_galeottii,A_Gardner_60,JN618531,JN836827,JN639566,JN836895
Oxalis_gregaria,K_Roe_1597,JN618532,JN836826,JN639565,NA
Oxalis_hernandesii,A_Gardner_26,JN618533,JN836828,JN639567,JN836896
Oxalis_hernandesii,A_Gardner_56,JN618534,JN836825,JN639564,JN836894
Oxalis_hispidula,M_Vaio_342,JN836775,NA,NA,JN836881
Oxalis_hispidula,M_Vaio_44,JN836776,JN836811,JN836765,NA
Oxalis_jacquiniana,A_Gardner_43,JN618535,JN836830,JN639569,JN836898
Oxalis_jacquiniana,A_Gardner_59,JN618536,JN836829,JN639568,JN836897
Oxalis_lasiandra,A_Gardner_69,JN618537,JN836831,JN639570,JN836899
Oxalis_latifolia,A_Gardner_38,JN618539,JN836834,JN639573,JN836902
Oxalis_latifolia,A_Gardner_70,JN618538,JN836832,JN639571,JN836900
Oxalis_latifolia,E_Emshwiller_439,JN618540,JN836835,JN639574,JN836903
Oxalis_latifolia,E_Emshwiller_508,JN618545,JN836836,JN639575,JN836904
Oxalis_latifolia,E_Emshwiller_756,JN618548,JN836837,JN639576,JN836905
Oxalis_latifolia,M_Vaio_C12,JN836771,NA,NA,NA
Oxalis_latifolia,P_Gonsiska_sn,JN618552,JN836817,JN639556,JN836886
Oxalis_macrocarpa,A_Gardner_49,JN618556,JN836819,JN639558,JN836888
Oxalis_macrocarpa,A_Gardner_53,JN618555,JN836838,JN639577,JN836906
Oxalis_magnifica,A_Gardner_68,JN618557,JN836839,JN639578,JN836907
Oxalis_morelosii,E_Perez_4856,JN618558,JN836840,JN639579,JN836908
Oxalis_nelsonii,A_Gardner_66,JN618559,JN836841,JN639580,JN836909
Oxalis_oreocharis,E_Emshwiller_583,JN618561,JN836843,EU437142,JN836911
