species,specimen,ITS,psbA_trnH,rbcL,trnL_trnF,trnT_trnL,trnS_trnG
Oxalis_acetosella,Heibl_Bot_Garden_Munich_01,JN634720,JN592057,JN587320,JN620117,JN620084,JN627218
Oxalis_adenophylla,Heibl_Pfanzelt_05-024,JN634721,JN592058,JN587321,JN620118,JN620085,NA
Oxalis_arbuscula,Heibl_Pfanzelt_05-050,JN634722,JN592059,JN587322,JN620119,JN620086,NA
Oxalis_arenaria,Heibl_03-094,JN634723,JN592060,JN587330,JN620120,JN620087,JN627219
Oxalis_atacamensis,Heibl_01-054,JN634724,JN592061,JN587323,JN620121,JN620088,NA
Oxalis_aureo-flava,Zollitsch_61,NA,JN592062,NA,JN620122,NA,NA
Oxalis_aureo-flava,Munoz_4871,JN634725,NA,NA,NA,NA,JN627220
Oxalis_bulbocastanum,Heibl_01-071,JN634726,JN592063,JN587324,JN620123,JN620089,NA
Oxalis_caesia,Heibl_02-012,JN634727,JN602084,JN587325,JN620124,JN620090,JN627221
Oxalis_cinerea,Heibl_03-095,JN634728,JN602085,NA,JN620125,JN620091,NA
Oxalis_compacta,Teillier_5013,JN634729,JN602086,NA,NA,NA,NA
Oxalis_corniculata,Gravendeel_723,JN634730,JN602087,JN587331,JN620126,NA,NA
Oxalis_dumetorum,Mihoc_7330,JN634731,JN602088,NA,NA,NA,JN627222
Oxalis_enneaphylla,Heibl_Munoz_Toro_04-046,NA,NA,JN587326,NA,NA,NA
Oxalis_enneaphylla,Heibl_Munoz_Toro_04-045,JN634732,JN602089,NA,JN620127,JN620092,JN627223
Oxalis_erythrorhiza,Teillier_4547,NA,JN602090,NA,NA,NA,NA
Oxalis_fontana,Gravendeel_Koops_302,NA,JN602091,NA,NA,NA,NA
Oxalis_gigantea,Ehrhart_6-244,NA,NA,NA,JN620128,NA,NA
Oxalis_gigantea,Heibl_Munoz_Toro_04-010,JN634733,NA,NA,NA,JN620093,JN627224
Oxalis_gigantea,Heibl_Munoz_Toro_04-013,NA,JN602092,NA,NA,NA,NA
Oxalis_gyrorhiza,Heibl_02-035,NA,JN602093,NA,JN620129,NA,JN627225
Oxalis_holosericea,Heibl_Pfanzelt_05-025,JN634734,JN607481,JN587327,JN620130,JN620094,JN627226
Oxalis_hypsophila,Heibl_Pfanzelt_05-039,JN634735,NA,JN587328,NA,NA,NA
Oxalis_hypsophila,Heibl_Pfanzelt_05-040,NA,JN607482,NA,JN620131,NA,NA
Oxalis_incana,Heibl_Pfanzelt_05-045,JN634736,JN607483,JN587329,JN620132,JN620095,JN627227
Oxalis_johnstonii,Heibl_01-080,NA,JN607484,NA,JN620133,JN620096,NA
Oxalis_laciniata,Heibl_Munoz_Toro_04-053,NA,NA,JN587310,NA,NA,NA
Oxalis_laciniata,Heibl_Munoz_Toro_04-047,JN634737,NA,NA,JN620134,JN620097,JN627228
Oxalis_laciniata,Heibl_Munoz_Toro_04-044,NA,JN607485,NA,NA,NA,NA
Oxalis_laxa_var_laxa,Heibl_03-091,JN634738,JN607486,JN587332,JN620135,JN620098,JN627229
Oxalis_laxa_var_hispidissima,Heibl_02-027,JN634739,NA,JN587333,JN620136,JN620099,JN627230
Oxalis_lomana,Heibl_04-055,JN634740,NA,JN587311,NA,JN620100,NA
Oxalis_loricata,Heibl_Pfanzelt_05-006,JN634741,JN607487,JN587312,JN620137,NA,NA
Oxalis_magellanica,Heibl_Bot_Garden_Munich_02,JN634742,JN607488,JN587313,JN620138,JN620101,JN627231
Oxalis_matancillae,Heibl_Munoz_Toro_04-023,NA,NA,JN587334,NA,NA,NA
Oxalis_megalorrhiza,Heibl_03-086,NA,JN607489,JN587314,NA,NA,NA
Oxalis_megalorrhiza,Kraus_K-139,JN634743,NA,NA,JN620139,JN620102,JN627232
Oxalis_micrantha,Heibl_03-092,JN634744,JN607490,NA,JN620140,NA,JN627233
