species,specimen,ITS,trnL_trnF
Oxalis_acetosella,J_Walter_7182,EU436870,EU437036
Oxalis_articulata_forma_crassipes,E_Emshwiller_146,NA,EU437146
Oxalis_articulata,Tosto_Hopp_2000,Z66545,NA
Oxalis_barrelieri,DUB809,EU436866,EU437033
Oxalis_brasiliensis,J_Holmes_0008,EU436879,EU437044
Oxalis_cf_megalorrhiza,L_Dreyer_809,EU436871,EU437037
Oxalis_corniculata,E_Emshwiller_793,NA,EU437126
Oxalis_corniculata,K_Oberlander_0025,EU436867,NA
Oxalis_debilis_var_debilis,E_Emshwiller_171,NA,EU437144
Oxalis_debilis_var_corymbosa,E_Emshwiller_445,U74290,NA
Oxalis_dillenii,J_Walter_6565,EU436868,NA
Oxalis_dillenii,E_Emshwiller_1160,NA,AJ582310
Oxalis_hypsophila,L_Dreyer_805,EU436874,EU437040
Oxalis_latifolia,K_Oberlander_0023,EU436875,AJ582326
Oxalis_micrantha,E_Emshwiller_744,AF470234,EU437140
Oxalis_pachyrrhiza,E_Emshwiller_387,U74275,EU437138
Oxalis_perdicaria,Till_Botrand_0002,EU436878,EU437043
Oxalis_spiralis,E_Emshwiller_590,NA,EU437130
Oxalis_spiralis,E_Emshwiller_187,AF098977,NA
Oxalis_stricta,J_Walter_6518,EU436869,EU437035
Oxalis_tetraphylla,Cav.,J_Holmes_0009,EU436877,EU437042
Oxalis_triangularis_ssp_papilionacea,E_Emshwiller_456,NA,EU437141
Oxalis_triangularis_ssp_triangularis,MO1165,FJ410328,NA
Oxalis_valdiviensis,Till_Botrand_0001,EU436873,EU437039
Oxalis_virgata,E_Emshwiller_292,U74267,EU437131
Oxalis_vulcanicola,MO702,EU436872,EU437038
Oxalis_adspersa,L_Dreyer_635,EU436936,AJ582290
Oxalis_aridicola,L_Dreyer_672,EU436977,AJ582296
Oxalis_campylorrhiza,L_Dreyer_696,EU436947,AJ582302
Oxalis_caprina,L_Dreyer_K_Oberlander_0001,EU436892,AJ582305
Oxalis_commutata,L_Dreyer_606,EU436898,AJ582308
Oxalis_dentata,C_Cilliers_0004,EU436888,AJ582312
Oxalis_dregei,Mucina_210903/11,EU436930,AJ582313
Oxalis_ebracteata,L_Dreyer_644,EU436990,AJ582314
Oxalis_eckloniana,L_Dreyer_628,EU437025,AJ582315
Oxalis_engleriana,K_Oberlander_0010,EU436961,AJ582316
Oxalis_grammophylla,L_Dreyer_670,EU437016,AJ582323
Oxalis_hirta,L_Dreyer_646,EU436971,AJ582324
Oxalis_lichenoides,L_Dreyer_785,EU436919,AJ582328
Oxalis_linearis,L_Dreyer_679,EU436972,AJ582329
Oxalis_monophylla,L_Dreyer_K_Oberlander_0003,EU436927,AJ582335
Oxalis_obtusa,L_Dreyer_691,EU436922,AJ582338
Oxalis_oculifera,L_Dreyer_799,EU436953,AJ582339
Oxalis_oligophylla,L_Dreyer_797,EU437023,AJ582340
Oxalis_oreophila,L_Dreyer_666,EU436975,AJ582341
Oxalis_pes-caprae,L_Dreyer_662,EU436882,AJ582343
Oxalis_pulchella,L_Dreyer_612,EU436907,AJ582347
Oxalis_purpurea,K_Oberlander_0024,EU436902,AJ582349
Oxalis_reclinata,L_Dreyer_688,FJ410329,FJ410330
Oxalis_salteri,L_Dreyer_784,EU436932,AJ582352
Oxalis_stenopetala,L_Dreyer_675,EU436983,AJ582353
Oxalis_tenella,L_Dreyer_639,EU436978,AJ582356
Oxalis_urbaniana,Bytebier,2015,EU436999,AJ582362
Oxalis_versicolor,K_Oberlander_0034,EU437006,AJ582363
Oxalis_viscosa,L_Dreyer_642,EU436949,AJ582364
Oxalis_xantha,L_Dreyer_671,EU436980,AJ582365
