species,specimen,ITS,trnL_trnF,trnS_trnG
Oxalis_sp,Mannheimer_2591,EU436885,EU437047,EU437174
Oxalis_cf_canaliculata,MB_Bayer_sn,EU436946,EU437088,EU437232
Oxalis_acetosella,J_Walter_7182,EU436870,EU437036,EU437159
Oxalis_adenodes,L_Dreyer_716,EU436903,EU437060,EU437191
Oxalis_adspersa,L_Dreyer_635,EU436936,AJ582290,EU437223
Oxalis_ambigua,K_Oberlander_0140,EU436905,EU437061,EU437193
Oxalis_amblyodonta,MB_Bayer_7397,EU437007,EU437116,EU437293
Oxalis_amblyosepala,K_Oberlander_0168,EU436982,EU437105,EU437268
Oxalis_annae,L_Mucina_170903/3,EU436920,EU437072,EU437208
Oxalis_argillacea,L_Dreyer_786,EU436940,AJ582294,EU437227
Oxalis_argyrophylla,K_Oberlander_0040,EU437005,AJ582295,EU437291
Oxalis_aridicola,L_Dreyer_672,EU436977,AJ582296,EU437263
Oxalis_attaquana,MB_Bayer_7007,EU436918,EU437071,EU437206
Oxalis_aurea,L_Dreyer_771,EU436935,EU437080,EU437222
Oxalis_barrelieri,DU_Bellstedt_809,EU436866,EU437033,EU437155
Oxalis_bifida,L_Dreyer_608,EU437017,AJ582297,EU437303
Oxalis_bifurca,DU_Bellstedt_764,EU436965,EU437100,EU437251
Oxalis_blastorrhiza,L_Dreyer_788,EU436974,AJ582298,EU437260
Oxalis_bowiei,MO502cfbowiei,EU436895,EU437055,EU437183
Oxalis_brasiliensis,J_Holmes_0008,EU436879,EU437044,EU437168
Oxalis_bullulata,L_Dreyer_792,EU436908,EU437063,EU437196
Oxalis_burkei,L_Dreyer_618,EU437029,AJ582299,NA
Oxalis_burtoniae,K_Oberlander_0031,EU437008,AJ582300,EU437294
Oxalis_callosa,K_Oberlander_0120,EU436973,EU437103,EU437259
Oxalis_camelopardalis,K_Oberlander_0071,EU437012,EU437119,EU437298
Oxalis_campicola,L_Dreyer_780,EU436981,AJ582301,EU437267
Oxalis_campylorrhiza,L_Dreyer_696,EU436947,AJ582302,EU437233
Oxalis_aff_campylorrhiza,L_Dreyer_689,EU436948,EU437089,EU437234
Oxalis_capillacea,L_Dreyer_625,EU437013,AJ582304,EU437299
Oxalis_caprina,L_Dreyer_K_Oberlander_0001,EU436892,AJ582305,EU437180
Oxalis_cathara,MO582cathara,EU436931,EU437077,EU437218
Oxalis_ciliaris,L_Dreyer_613,EU436979,AJ582307,EU437265
Oxalis_clavifolia,K_Oberlander_0141,EU436951,EU437090,EU437237
Oxalis_commutata,L_Dreyer_606,EU436898,AJ582308,EU437186
Oxalis_comosa,L_Mucina_220901/30A,EU436954,EU437091,EU437240
Oxalis_compressa,Bayer_Oberlander_0009,EU436883,EU437046,EU437172
Oxalis_comptonii,L_Dreyer_802,EU436985,AJ582309,EU437272
Oxalis_confertifolia,K_Oberlander_0075,EU437011,EU437118,EU437297
Oxalis_convexula,K_Oberlander_0014,EU436913,EU437067,EU437201
Oxalis_copiosa,K_Oberlander_0021,EU436887,EU437049,EU437176
Oxalis_corniculata,K_Oberlander_0025,EU436867,AJ582310,EU437156
Oxalis_crocea,L_Dreyer_693,EU436950,AJ582311,EU437236
Oxalis_cuneata,L_Dreyer_791,EU436969,EU437101,EU437255
Oxalis_densa,K_Oberlander_0169,EU436921,EU437073,EU437209
Oxalis_dentata,C_Cilliers_0004,EU436888,AJ582312,EU437177
Oxalis_depressa,K_Oberlander_0085,EU436909,EU437064,EU437197
Oxalis_deserticola,K_Oberlander_0114,EU436939,EU437083,EU437226
Oxalis_dichotoma,K_Oberlander_0052,EU436893,EU437053,EU437181
Oxalis_dilatata,Bayer_Oberlander_0014,EU436910,EU437065 ,EU437198
Oxalis_dillenii,J_Walter_6565,EU436868,EU437034,EU437157
Oxalis_dines,NA_Helme_1355,EU436943,EU437085,NA
Oxalis_disticha,K_Oberlander_0159,EU436942,EU437084,EU437229
Oxalis_dregei,L_Mucina_210903/11,EU436930,AJ582313,EU437217
Oxalis_droseroides,K_Oberlander_0079,EU436994,EU437111,EU437280
Oxalis_duriuscula,K_Oberlander_0082,EU437020,EU437123,EU437306
Oxalis_ebracteate,L_Dreyer_644,EU436990,AJ582314,EU437276
Oxalis_eckloniana,L_Dreyer_628,EU437025,AJ582315,EU437311
Oxalis_engleriana,K_Oberlander_0010,EU436961,AJ582316,EU437247
Oxalis_exserta,L_Dreyer_686,EU436967,AJ582317,EU437253
Oxalis_fabaefolia,L_Dreyer_721/A,EU436925,EU437075,EU437212
Oxalis_falcatula,K_Oberlander_0096,EU436992,EU437109,EU437278
Oxalis_fergusoniae,K_Oberlander_0111,EU436912,EU437066,EU437200
Oxalis_fibrosa,K_Oberlander_0051,EU436958,EU437095,EU437244
Oxalis_flava,L_Dreyer_614,EU436924,AJ582318,EU437211
Oxalis_flaviuscula,L_Dreyer_701,EU436929,AJ582319,EU437216
Oxalis_fourcadei,PA_Bean_JH_Vlok_2046,EU436923,EU437074,NA
Oxalis_furcillata,K_Oberlander_0022,EU436952,AJ582320,EU437238
Oxalis_giftbergensis,L_Dreyer_796,EU436988,AJ582321,EU437274
Oxalis_glabra,L_Mucina_170601/2,EU437000,AJ582322,EU437286
Oxalis_goniorrhiza,K_Oberlander_0157,EU437002,EU437114,EU437288
Oxalis_gracilipes,L_Dreyer_645,EU436991,EU437108,EU437277
Oxalis_gracilis,K_Oberlander_123,EU436976,EU437104,EU437262
Oxalis_grammopetala,K_Oberlander_0156,EU436906,EU437062,EU437194
Oxalis_grammophylla,L_Dreyer_670,EU437016,AJ582323,EU437302
Oxalis_haedulipes,L_Mucina_180903/9,EU436886,EU437048,EU437175
Oxalis_heterophylla,Bayer_Oberlander_0008,EU437018,EU437121,EU437304
Oxalis_hirta,L_Dreyer_646,EU436971,AJ582324,EU437257
Oxalis_hygrophila,Kumwenda_Dreyer_0001,EU437024,AJ582333,EU437310
Oxalis_hypsophila,L_Dreyer_805,EU436874,EU437040 ,EU437163
Oxalis_imbricata,K_Oberlander_0062,EU436896,EU437056,EU437184
Oxalis_incarnata,K_Oberlander_0063,EU436957,EU437094,EU437243
Oxalis_inconspicua,L_Dreyer_707,EU436944,EU437086,EU437230
Oxalis_kamiesbergensis,MO592cfkamiebergensis,EU436970,EU437102,EU437256
Oxalis_knuthiana,L_Dreyer_721,EU436884,AJ582325,EU437173
Oxalis_lanata,L_Dreyer_751,EU437027,EU437125,NA
Oxalis_lasiandra,MO455,EU436876,EU437041,EU437165
Oxalis_lateriflora,L_Dreyer_651,EU436890,EU437051,NA
Oxalis_lateriflora,L_Dreyer_652,NA,NA,EU437178
Oxalis_latifolia,K_Oberlander_0023,EU436875,AJ582326,EU437164
Oxalis_leptocalyx,K_Oberlander_0076,EU437001,EU437113,EU437287
Oxalis_leptogramma,L_Dreyer_617,EU437014,AJ582327,EU437300
Oxalis_lichenoides,L_Dreyer_785,EU436919,AJ582328,EU437207
Oxalis_linearis,L_Dreyer_679,EU436972,AJ582329,EU437258
Oxalis_livida,K_Oberlander_0078,EU436889,EU437050,NA
Oxalis_louisae,L_Dreyer_708,EU436928,AJ582330,EU437215
Oxalis_luteola,K_Oberlander_0026,EU436904,AJ582331,EU437192
Oxalis_massoniana,J_Holmes_0016,EU437015,EU437120,EU437301 
Oxalis_meisneri,K_Oberlander_0088,EU436993,EU437110,EU437279
Oxalis_melanosticta,L_Dreyer_622,EU436901,AJ582332,EU437189
Oxalis_minuta,L_Dreyer_727,EU437028,AJ582334,NA
Oxalis_monophylla,L_Dreyer_K_Oberlander_0003,EU436927,AJ582335,EU437214
Oxalis_multicaulis,K_Oberlander_0080,EU436998,EU437112,EU437284
Oxalis_namaquana,L_Dreyer_713,EU436941,AJ582336,EU437228
Oxalis_natans,K_Oberlander_0160,EU437009,EU437117,EU437295
Oxalis_nidulans,L_Dreyer_752,EU437026,AJ582337,EU437312
Oxalis_nortieri,K_Oberlander_0112,EU436914,EU437068,EU437202
Oxalis_obliquifolia,DU_Bellstedt_711,EU436915,EU437069,EU437203
Oxalis_obtusa,L_Dreyer_691,EU436922,AJ582338,EU437210
Oxalis_oculifera,L_Dreyer_799,EU436953,AJ582339,EU437239
Oxalis_oligophylla,L_Dreyer_797,EU437023,AJ582340,EU437309
Oxalis_orbicularis,K_Oberlander_0066,EU436899,EU437058,EU437187
Oxalis_oreophila,L_Dreyer_666,EU436975,AJ582341,EU437261
Oxalis_orthopoda,K_Oberlander_0068,EU436956,EU437093,EU437242
Oxalis_cf_pachyrrhiza,L_Dreyer_809,EU436871,EU437037,EU437160
Oxalis_pallens,L_Dreyer_654,EU436997,AJ582342,EU437283
Oxalis_palmifrons,J_Holmes_0019,EU437021,EU437124,EU437307
Oxalis_pendulifolia,K_Oberlander_0067,EU437019,EU437122,EU437305
Oxalis_perdicaria,T_Botrand_0002,EU436878,EU437043,EU437167
Oxalis_pes-caprae,L_Dreyer_662,EU436882,AJ582343,EU437171
Oxalis_phloxidiflora,L_Dreyer_678,EU436984,EU437106,EU437270
Oxalis_pillansiana,K_Oberlander_0135,EU436938,EU437082,EU437225
Oxalis_pocockiae,L_Dreyer_626,EU436911,AJ582344,EU437199
Oxalis_polyphylla,C_Cilliers_0002,EU437010,AJ582345,EU437296
Oxalis_porphyriosiphon,K_Oberlander_0167,EU436987,EU437107,EU437273
Oxalis_primuloides,L_Dreyer_711,EU436966,AJ582346,EU437252
Oxalis_pseudo-cernua,P_Craven_4781,EU436880,EU437045,EU437169
Oxalis_psilopoda,K_Oberlander_0064,EU436891,EU437052,EU437179
Oxalis_pulchella,L_Dreyer_612,EU436907,AJ582347,EU437195
Oxalis_cf_pulvinata,MO576cfpulvinata,EU436926,EU437076,EU437213
Oxalis_punctata,C_Cilliers_0005,EU436917,AJ582367,EU437205
Oxalis_purpurascens,L_Dreyer_634,EU436881,AJ582348,EU437170
Oxalis_purpurea,K_Oberlander_0024,EU436902,AJ582349,EU437190
Oxalis_pusilla,L_Dreyer_746,EU437004,AJ582350,EU437290
Oxalis_reclinata,L_Dreyer_718,EU436968,AJ582351,EU437254.
Oxalis_recticaulis,K_Oberlander_0170,EU437003,EU437115,EU437289
Oxalis_salteri,L_Dreyer_784,EU436932,AJ582352,EU437219
Oxalis_setosa,DU_Bellstedt_770,EU436916,EU437070,EU437204
Oxalis_smithiana,DU_Bellstedt_699,EU436964,EU437099,EU437250
Oxalis_sonderiana,L_Dreyer_694,EU436945,EU437087,EU437231
Oxalis_stellata,K_Oberlander_0086,EU436894,EU437054,EU437182
Oxalis_stenopetala,L_Dreyer_675,EU436983,AJ582353,EU437269
Oxalis_stenoptera,K_Oberlander_0138,EU436934,EU437079,EU437221
Oxalis_stictocheila,L_Dreyer_749,EU436996,AJ582355,EU437282
Oxalis_stricta,J_Walter_6518,EU436869,EU437035,EU437158
Oxalis_strigosa,K_Oberlander_0093,EU436959,EU437096,EU437245
Oxalis_suavis,K_Oberlander_0075,EU436937,EU437081,EU437224
Oxalis_suteroides,K_Oberlander_0115,EU436963,EU437098,EU437249
Oxalis_tenella,L_Dreyer_639,EU436978,AJ582356,EU437264
Oxalis_tenuifolia,K_Oberlander_0027,EU436995,EU437112,EU437281
Oxalis_tenuipes,L_Dreyer_800,EU436986,AJ582358,EU437271
Oxalis_tenuis,L_Dreyer_793,EU436989,AJ582359,EU437275
Oxalis_tetraphylla,MO392cftetraphylla,EU436877,EU437042,EU437166
Oxalis_tomentosa,Te_Roller_0006,EU437022,AJ582360,EU437308
Oxalis_cf_tragopoda,MO490cftragopoda,EU436897,EU437057,EU437185
Oxalis_truncatula,L_Dreyer_605,EU436960,AJ582361,EU437246
Oxalis_uliginosa,MO394uliginosa,EU436933,EU437078,EU437220
Oxalis_urbaniana,Bytebier_2015,EU436999,AJ582362,EU437285
Oxalis_valdiviensis,T_Botrand_0001,EU436873,EU437039,EU437162
Oxalis_versicolor,K_Oberlander_0034,EU437006,AJ582363,EU437292
Oxalis_virginea,MO580virginea,EU436955,EU437092,EU437241
Oxalis_viscosa,L_Dreyer_642,EU436949,AJ582364,EU437235
Oxalis_vulcanicola,MO702cfhedysaroides ,EU436872,EU437038,EU437161
Oxalis_xantha,L_Dreyer_671,EU436980,AJ582365,EU437266
