species,specimen,ITS,psbJ_petA,trnL_trnF,trnT_trnL
Oxalis_corniculata,M_Vaio_386,NA,KC602036,KC602060,KC602088
Oxalis_corniculata,M_Vaio_413,KC602003,NA,NA,NA
Oxalis_corniculata,E_Emshwiller_793,JN603192,JN836781,EU437126,JN836851
Oxalis_corniculata,A_Gardner_S1,KC602004,KC602032,KC602056,KC602085
Oxalis_corniculata,K_Oberlander_0025,EU436867,NA,NA,EU437361
Oxalis_corniculata,Whang_30690,EU274619,NA,NA,NA
Oxalis_corniculata,Gravendeel_723,JN634730,NA,NA,NA
Oxalis_corniculata,shawpc1016I,JN407499,NA,NA,NA
Oxalis_corniculata,E_Emshwiller_992,KC602005,KC602033,KC602057,KC602086
Oxalis_corniculata,KEW_37915,KC602006,KC602034,KC602058,NA
Oxalis_corniculata,M_Vaio_259,KC602007,KC602035,KC602059,KC602087
Oxalis_fontana,Whang_30761,EU274622,NA,NA,NA
Oxalis_stricta,J_Walter_6518,EU436869,NA,EU437035,NA
Oxalis_stricta,A_Gardner_strictaB,NA,KC602037,KC602061,KC602089
Oxalis_calachaccensis,E_Emshwiller_151,KC602008,NA,EU437127,NA
Oxalis_calachacensis,E_Emshwiller_880X,KC602009,KC602038,KC602063,NA
Oxalis_bisfracta,E_Emshwiller_232,KC602010,KC602039,KC602065,KC602091
Oxalis_dillenii,J_Walter_6565,EU436868,NA,EU437034,NA
Oxalis_dillenii,E_Emshwiller_1160,NA,NA,KC602064,KC602090
Oxalis_aureoflava,Munoz_4871,JN634725,NA,JN620122,NA
Oxalis_paludosa,M_Vaio_479,KC602011,KC602040,KC602066,KC602092
Oxalis_tenerrima,M_Vaio_C30,KC602012,KC602041,KC602067,KC602093
Oxalis_tenerrima,M_Vaio_C25,KC602013,NA,NA,NA
Oxalis_conorrhiza,M_Vaio_86,KC602014,NA,NA,KC602094
Oxalis_conorrhiza,M_Vaio_206,NA,KC602042,KC602068,KC602095
Oxalis_conorrhiza,M_Vaio_175,KC602015,NA,KC602069,KC602096
Oxalis_conorrhiza,M_Vaio_528,KC602016,NA,NA,NA
Oxalis_gyrorhiza,Heibl_02-035,NA,NA,JN620129,NA
Oxalis_niederleinii,M_Vaio_190,KC602018,KC602044,KC602071,KC602098
Oxalis_refracta,M_Vaio_496,KC602019,KC602045,KC602072,KC602099
Oxalis_eriocarpa,M_Vaio_31,KC602020,KC602046,KC602073,KC602100
Oxalis_dumetorum,Mihoc_7330,JN634731,NA,NA,NA
Oxalis_serpens,M_Vaio_C27,KC602017,KC602043,KC602070,KC602097
Oxalis_bifrons,P_Fiaschi_3633,KC602021,KC602047,KC602074,KC602101
Oxalis_sarmentosa,M_Vaio_C13,KC602022,KC602048,KC602075,KC602102
Oxalis_sarmentosa,M_Vaio_C35,KC602023,NA,NA,NA
Oxalis_paranaensis,M_Vaio_C2,KC602024,KC602049,KC602076,KC602103
Oxalis_debilis,M_Vaio_62,JN836774,JN836806,JN836760,JN836876
Oxalis_perdicaria,M_Vaio_79,JN836772,JN836808,JN836762,JN836878
Oxalis_floribunda,M_Vaio_358,JN836767,JN836790,JN836758,JN836861
Oxalis_acetosella,E_Emshwiller_114,JN836783,JN836783,JN639537,JN836853
Oxalis_tuberosa,E_Emshwiller_97:50-02,JN603198,JN836787,KC602077,KC602104
Oxalis_rosea,TG_Lammers_7916,JN603194,JN836784,JN639538,JN836854
Oxalis_megalorrhiza,E_Emshwiller_773,JN603196,NA,EU437139,JN836856
Oxalis_psoraleoides,M_Vaio_431,KC602030,KC602054,NA,KC602109
Oxalis_psoraleoides,E_Emshwiller_781,NA,NA,EU437128,NA
Oxalis_rhombeo-ovata,M_Vaio_526,KC602031,NA,KC602084,KC602110
Oxalis_frutescens,M_Vaio_426,KC602026,KC602051,KC602080,KC602106
Oxalis_divaricata,LP_Felix_13386,KC602028,KC602055,KC602082,KC602111
Oxalis_grisea,M_Vaio_512,KC602025,KC602050,KC602079,KC602105
Oxalis_glaucescens,LP_Felix_13539,KC602029,KC602053,KC602083,KC602108
Oxalis_barrelieri,M_Vaio_517,KC602027,KC602052,KC602081,KC602107
