species,specimen,ITS,petA_psbJ,trnL_trnF
Oxalis_articulata_subsp_articulata,M_Vaio_242,KX249610,KX249681,KX249638
Oxalis_nelsoniia,A_Gardner_66,JN618559,N836841,JN639580J
Oxalis_sarmentosaa,A_Nuernberg_1849,OQ623654,OR099859,OR099882
Oxalis_caesariata,P_Fiaschi_5273,PP175926,PP179507,PP179511
Oxalis_caesariata,J_Radavelli_62,PP175925,PP179506,PP179510
Oxalis_densifolia,FS_Cabral_93,OQ310875,OQ295996,OQ296022
Oxalis_gardneriana,AV_Scatigna_1336,PQ847008,PQ846555,NA
Oxalis_veadeirosensis,P_Fiaschi_5330,PQ847009,PQ846557,PQ846558
Oxalis_mandioccana,E_Richetti_29,OQ310885,OQ296006,OQ296033
Oxalis_blackii,TS_Costa_115,MH705068,MH705089,MH705073
Oxalis_psoraleoides_subsp_insipida,FS_Cabral_IS4,OR094469,OR099857,NA
Oxalis_grisea,M_Vaio_512,KC602025,KC602050,KC602079
Oxalis_barrelieri,M_Vaio_517,KC602027,KC602052,KC602081
Oxalis_cytisoides,FS_Cabral_139,OQ310874,OQ295995,OQ296021
Oxalis_hyalotricha_subsp_hyalotricha,FS_Cabral_170,OQ623647,OR0998491,NA
Oxalis_pyrenea_var_macrochaeta,FS_Cabral_96,OQ623651,OR099858,OR099881
Oxalis_pyrenea_var_macrochaeta,J_Radavelli_67,NA,PP179508,PP179512
Oxalis_pyrenea_var_pyrenea,FS_Cabral_103,NA,OR099858,OR099881
Oxalis_pyrenea_var_pyrenea,M_Sartor_65,PP175927,PP179509,PP179513
Oxalis_sellowii,FS_Cabral_109,OQ623655,OR099860,OR099883
Oxalis_suborbiculata,FS_Cabral_111,OQ310896,OQ296016,OQ296044
