species,specimen,ITS
Oxalis_acetosella,Oberlander_2009,EU436870
Oxalis_articulata,Tosto_Hopp_1996,Z66545
Oxalis_barrelieri,Oberlander_2009,EU436866
Oxalis_corniculata,Oberlander_2009,EU436867
Oxalis_corniculata,Nie_3660,JX445129
Oxalis_corymbosa,Deng_Zhang_Nie_542,JX445130
Oxalis_dolichopoda,Emshwiller_Doyle_1998,U74267
Oxalis_griffithii,Deng_Zhang_Nie_546,JX445131
Oxalis_micrantha,Heibl_Renner_2012,JN634744
Oxalis_obtriangulata,Koo_Lee_2007,DQ151555
Oxalis_oregana,Heibl_Renner_2012,JN159893
Oxalis_pachyrrhiza,Emshwiller_Doyle_1998,U74275
Oxalis_perdicaria,Oberlander_2009,EU436878
Oxalis_pes-caprae,Oberlander_2009,EU436882
Oxalis_stricta,Oberlander_2009,EU436869
Oxalis_triangularis,Oberlander_2009,FJ410328
Oxalis_valdiviensis,Oberlander_2009,EU436873
Oxalis_vulcanicola,Oberlander_2009,EU436872
Oxalis_wulingensis,Deng_Zhang_Nie_544,JX445132
