species,specimen,ITS
Oxalis_acetosella,J_Walter_7182,EU436870
Oxalis_articulata,Unknown_Collector_N,Z66545
Oxalis_barrelieri,DUB809,EU436866
Oxalis_corniculata,K_Oberlander_0025,EU436867
Oxalis_corniculata,Nie_3660,JX445129
Oxalis_corymbosa,Deng_Zhang_Nie_542,JX445130
Oxalis_dolichopoda,E_Emshwiller_292,U74267
Oxalis_griffithii,Deng_Zhang_Nie_546,JX445131
Oxalis_micrantha,Heibl_Renner_2012,JN634744
Oxalis_obtriangulata,Koo_Lee_2007,DQ151555
Oxalis_oregana,Heibl_Renner_2012,JN159893
Oxalis_pachyrrhiza,E_Emshwiller_387,U74275
Oxalis_perdicaria,T_Botrand_0002,EU436878
Oxalis_pes-caprae,L_Dreyer_662,EU436882
Oxalis_stricta,J_Walter_6518,EU436869
Oxalis_triangularis_ssp_triangularis,MO1165,FJ410328
Oxalis_valdiviensis,T_Botrand_0001,EU436873
Oxalis_vulcanicola,MO702,EU436872
Oxalis_wulingensis,Deng_Zhang_Nie_544,JX445132
