taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL
Ackama_rosifolia,UnknownN,DQ499074,NA,NA,NA,NA,NA,NA,NA
Acrophyllum_australe,UnknownN,NA,NA,NA,NA,AF291926,AF299221,NA,NA
Anodopetalum_biglandulosum,UnknownN,NA,NA,NA,NA,AF291932,AF299228,NA,NA
Bauera_capitata,600400468,NA,NA,ON594432,NA,ON594147,NA,NA,NA
Caldcluvia_paniculosa,UnknownN,DQ499068,NA,NA,NA,NA,NA,NA,NA
Callicoma_serratifolia,CUN120,PQ778287,NA,NA,NA,NA,NA,NA,NA
Ceratopetalum_apetalum,UnknownN,DQ499070,NA,NA,NA,NA,NA,NA,NA
Codia_albicans,CUN121,NA,NA,NA,NA,NA,PQ879016,NA,NA
Cunonia_balansae,CUN069,PQ778246,NA,NA,NA,NA,PQ878973,NA,NA
Davidsonia_pruriens,Carlsen3197,OL536442,NA,NA,NA,OL536852,NA,NA,NA
Eucryphia_cordifolia,CONC125000,OK052514,NA,NA,NA,NA,NA,NA,NA
Geissois_pruinosa,CUN159,NA,NA,NA,NA,NA,PQ879045,NA,NA
Gillbeea_adenopetala,UnknownN,NA,NA,NA,NA,AF291927,AF299222,NA,NA
Hooglandia_ignambiensis,UnknownN,NA,NA,NA,NA,ON594147,AY549640,NA,NA
Karrabina_biagiana,UnknownN,NA,NA,NA,NA,NA,KF594404,NA,NA
Lamononia_ternata,Blum10-127,KF420994,NA,NA,NA,NA,NA,NA,NA
Opocunonia_papuana,UnknownN,DQ499069,NA,NA,NA,NA,NA,NA,NA
Pancheria_hirsuta,CUN132,PQ778260,NA,NA,NA,NA,PQ878988,NA,NA
Platylophus_trifoliatus,UnknownN,NA,NA,NA,NA,AF291933,AF299230,NA,NA
Pullea_stutzeri,WellsJ164-Pst,NA,NA,NA,NA,NA,KC428593,NA,NA
Pseudoweinmannia_lanchnocarpa,UnknownN,NA,NA,NA,NA,AF291925,AF299220,NA,NA
Schizomeria_ovata,UnknownN,NA,NA,NA,NA,NA,AF299231,NA,NA
Spiraeanthemum_ellipticum,UnknownN,NA,NA,NA,NA,AF291935,AF299232,NA,NA
Spiraeopsis_celebica,UnknownN,AF485641,NA,NA,NA,AF291923,AF299217,NA,NA
Vesselowskya_rubifolia,CUN136,PQ778296,NA,NA,NA,NA,PQ879030,NA,NA
Weinmannia_reticulata,CUN111,PQ778279,NA,NA,NA,NA,PQ879007,NA,NA
Aceratium_ferrugineum,Harrington296,DQ448685,NA,NA,NA,NA,DQ444681,NA,NA
Aristotelia_fruticosa,Chase781,DQ448662,NA,NA,NA,NA,DQ444662,NA,NA
Crinodendron_patagua,AllenNSW605484,DQ448674,NA,NA,NA,NA,DQ444666,NA,NA
Dubouzetia_campanulata,Crayn745,KJ675676,NA,NA,NA,NA,DQ444667,NA,NA
Elaeocarpus_angustifolius,J315,KR532042,NA,KR532886,NA,KR529191,NA,NA,NA
Peripentadenia_phelpsii,Crayn887,DQ448678,NA,NA,NA,NA,DQ444671,NA,NA
Platytheca_galioides,Crayn701,EF095731,NA,NA,NA,NA,NA,NA,NA
Sericolea_micans,Crayn536,KJ675672,NA,NA,NA,NA,DQ444673,NA,NA
Sloanaea_syandra,UnknownN,OK052512,NA,NA,NA,NA,NA,NA,NA
Tetratheca_hirsuta,Butcher915,EF095732,NA,NA,NA,NA,EF095742,NA,NA
Tremandra_diffusa,Butcher961,DQ448672,NA,NA,NA,NA,DQ444701,NA,NA
Vallea_stipularis,Chase654,DQ448665,NA,NA,NA,NA,DQ444664,NA,NA
