taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,Nmarker,Kmarker,duplicate
Aceratium_ferrugineum,Harrington296,DQ448685,NA,NA,NA,NA,DQ444681,NA,NA,2,TRUE,FALSE
Ackama_rosifolia,UnknownN,DQ499074,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Agelaea_borneensis,AS166,NA,NA,NA,NA,KU853162,KU853218,NA,NA,2,FALSE,FALSE
Aristotelia_fruticosa,Chase781,DQ448662,NA,NA,NA,NA,DQ444662,NA,NA,2,TRUE,FALSE
Averrhoa_carambola,NC033350,NA,NA,1,1,1,1,1,1,6,FALSE,FALSE
Brunellia_antioquensis,MN615725,OK052516,NA,1,1,1,1,1,1,7,TRUE,FALSE
Brunellia_trianae,MN585217,OK052545,NA,1,1,1,1,1,1,7,TRUE,FALSE
Caldcluvia_paniculosa,UnknownN,DQ499068,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Callicoma_serratifolia,CUN120,PQ778287,NA,NA,NA,NA,PQ879015,NA,NA,2,TRUE,FALSE
Cephalotus_follicularis,ON149879,NA,NA,1,1,1,1,1,1,6,FALSE,FALSE
Ceratopetalum_apetalum,UnknownN,DQ499070,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Cnestidium_rufescens,DB0784,NA,NA,MZ478332,NA,KJ594182,NA,NA,NA,2,FALSE,FALSE
Cnestis_polyphylla,Abbott9113,NA,NA,NA,NA,JX572418,NA,NA,NA,1,FALSE,FALSE
Connarus_panamensis,DB0282,NA,NA,MZ478340,NA,KJ594195,NA,NA,NA,2,FALSE,FALSE
Crinodendron_patagua,AllenNSW605484,DQ448674,NA,NA,NA,NA,DQ444666,NA,NA,2,TRUE,FALSE
Cunonia_balansae,CUN069,PQ778246,NA,NA,NA,NA,PQ878973,NA,NA,2,TRUE,FALSE
Dapania_pentandra,DAPEN,EU436861,NA,NA,NA,NA,EU437031,EU437150,NA,3,TRUE,FALSE
Davidsonia_pruriens,Carlsen3197,OL536442,NA,NA,NA,OL536852,NA,NA,NA,2,TRUE,FALSE
Dubouzetia_campanulata,Crayn745,KJ675676,NA,NA,NA,NA,DQ444667,NA,NA,2,TRUE,FALSE
Elaeocarpus_decipiens,MZ334669,NA,NA,1,1,1,1,1,1,6,FALSE,FALSE
Ellipanthus_glabrifolius,CPG00356,NA,NA,NA,NA,KX527037,NA,NA,NA,1,FALSE,FALSE
