taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF
Oxalis_adenophylla,Zabala160,1,NA,NA,NA,1
Oxalis_aff_dombey,Gaspar171,1,1,1,1,1
Oxalis_aff_pickeringii,Gaspar275,1,1,1,1,1
Oxalis_alstonii,Fiaschi5363,1,NA,1,NA,1
Oxalis_animarum,Cabral275,1,NA,1,NA,1
Oxalis_argentina,Zuloaga12028,1,NA,NA,NA,1
Oxalis_artemioides,Sartor81,1,NA,1,NA,1
Oxalis_articulata,MM4524,1,NA,NA,NA,1
Oxalis_barrelieri,Fiaschi4654,1,NA,NA,NA,NA
Oxalis_brasiliensis,Zuloaga11401,1,NA,NA,NA,1
Oxalis_cerradoana,Cabral259,1,NA,1,NA,1
Oxalis_cf_alstonii,Cabral273,1,NA,1,NA,1
Oxalis_cf_cerradoana,Cabral251,1,NA,1,NA,1
Oxalis_cipoensis,Costa110,1,NA,1,NA,1
Oxalis_clausenii,Fiaschi4649,NA,NA,1,NA,1
Oxalis_colatinensis,Fiaschi4631,1,NA,NA,NA,NA
Oxalis_confertissima,Fiaschi4478,1,NA,1,NA,1
Oxalis_conorrhiza,MM4518,1,NA,NA,NA,NA
Oxalis_conorrhiza,Zuloaga12216,NA,NA,NA,NA,1
Oxalis_corniculata,Zuloaga13216,1,NA,NA,NA,1
Oxalis_corniculata,KEW37915,1,NA,1,NA,1
Oxalis_decipiens,Vasques57,1,NA,1,NA,1
Oxalis_desmodioides,Cabral194,1,NA,1,NA,1
Oxalis_dombey,Cornejo10089,1,NA,1,NA,1
Oxalis_dombey,Cornejo10158,1,NA,1,NA,1
Oxalis_enneaphylla,Zabala231,1,NA,NA,NA,1
Oxalis_eriocarpa,Nuernberg1820,NA,NA,1,NA,1
Oxalis_eriocarpa,OM6313,1,NA,NA,NA,1
Oxalis_erytrorhiza,Zuloaga12781,1,NA,NA,NA,NA
Oxalis_famatinae,Zuloaga11970,1,NA,NA,NA,1
Oxalis_floribunda,OM6243,1,NA,NA,NA,1
Oxalis_frutescens,Zuloaga11549,NA,NA,NA,NA,1
Oxalis_gardneriana,Scatigna1336,1,NA,1,NA,1
Oxalis_gracilifolia,Cabral193,1,NA,1,NA,1
Oxalis_grisea,Simon2781,1,NA,1,NA,1
Oxalis_hedysaroides,Cogollo2943,NA,NA,1,NA,1
Oxalis_hedysaroides,Cornejo10079,1,NA,1,NA,1
Oxalis_hispidula,Giussani422,1,NA,NA,NA,NA
Oxalis_idimae,Vasques78,1,NA,1,NA,1
Oxalis_jasminifolia,Pennington12342,1,NA,NA,NA,NA
Oxalis_jasminifolia,Cornejo9331,1,NA,1,NA,1
Oxalis_juruensis,Marinho1707,NA,NA,1,NA,1
Oxalis_kollmannii,Manhaes176,1,NA,NA,NA,NA
Oxalis_laxa_var_hispidissima,Zuloaga12608,1,NA,NA,NA,NA
Oxalis_laxa_var_hispidissima,Zuloaga12555,1,NA,NA,NA,1
Oxalis_lomana,Gaspar46,1,NA,NA,1,NA
Oxalis_lomana,Gaspar2,1,1,NA,1,NA
Oxalis_lomana,Gaspar55,1,1,NA,1,NA
Oxalis_lutzii,Fiaschi5596,1,NA,1,NA,NA
Oxalis_megalorrhiza,Gaspar173,1,1,NA,1,NA
Oxalis_micrantha,Zuloaga12313,NA,NA,NA,NA,1
Oxalis_micrantha,Zuloaga12428,1,NA,NA,NA,1
Oxalis_micrantha,Zuloaga12338,NA,NA,NA,NA,1
Oxalis_microcarpa,Cornejo9341,1,NA,1,NA,NA
Oxalis_morronei,Zabala204,1,NA,NA,NA,1
Oxalis_neuwiedii_subsp_neuwiedii,Santos749,1,NA,NA,NA,NA
Oxalis_neuwiedii_subsp_neuwiedii,Perdiz174,1,NA,NA,NA,NA
Oxalis_niederleinii,OM6328,1,NA,NA,NA,1
Oxalis_niederleinii,Nuernberg1828,1,NA,1,NA,1
Oxalis_nigrescens,Felix15365,1,NA,1,NA,1
Oxalis_pachyrrhiza,Zuloaga11802,NA,NA,NA,NA,1
Oxalis_pardoensis,Caxambu5990,1,NA,1,NA,1
Oxalis_pataxorum,Cabral196,1,NA,1,NA,1
Oxalis_perdicaria,Giussani423,1,NA,NA,NA,1
Oxalis_pickeringii,Gaspar175,1,NA,1,1,1
Oxalis_pilulifera,Sartor48,NA,NA,1,NA,NA
Oxalis_praetexta,FSCPG3,1,NA,1,NA,1
Oxalis_rhombeo-ovata,Fiaschi4464,1,NA,NA,NA,NA
Oxalis_sarmentosa,Nuernberg1870,1,NA,1,NA,1
Oxalis_sellowiana_forma_sellowiana,Giussani421,1,NA,NA,NA,1
Oxalis_sepium,Radavelli76,NA,NA,1,NA,1
Oxalis_serpens,Fiaschi4503,1,NA,1,NA,1
Oxalis_spiralis,Zuloaga11469,1,NA,NA,NA,NA
Oxalis_spiralis,Zuloaga11633,1,NA,NA,NA,1
Oxalis_subvilosa,Nuernberg1848,1,NA,1,NA,1
Oxalis_tijucana,Fiaschi44722,1,NA,NA,NA,NA
Oxalis_tijucana,Vasques85,1,NA,1,NA,1
Oxalis_timida,Vasques52,1,NA,1,NA,1
Oxalis_umbraticola,Nery91,NA,NA,1,NA,1
Oxalis_valdiviensis,LZ81,1,NA,NA,NA,1
Oxalis_valdiviensis,LZ128,1,NA,NA,NA,1
Oxalis_veadeirosensis,Sartor52,NA,NA,1,NA,NA
