taxon,specimen,ITS
Oxalis_acetosella,HeiblBotGardenMunich01,JN634720
Oxalis_adenodes,Dreyer716,EU436903
Oxalis_adenophylla,HeiblPfanzelt05-024,JN634721
Oxalis_adpressipila,Kuhlmann6587h,OQ310891
Oxalis_adspersa,Dreyer635,EU436936
Oxalis_aff_campylorrhiza,Dreyer689,EU436948
Oxalis_aff_distincta,Emshwiller289/321/447,U74266
Oxalis_aff_spiralis,Emshwiller184,U74261
Oxalis_aff_tuberosa,Emshwiller260,U74287
Oxalis_aff_umbraticola,Rhoden19,NA
Oxalis_alpina,Gardner45,JN618513
Oxalis_alstonii_subsp_alstonii,Vaio413 ,MH705067
Oxalis_alstonii_subsp_lutzii,Melo_4829,PQ536091
Oxalis_alvimii,Fiaschi4597,OQ310870
Oxalis_ambigua,Oberlander0140,EU436905
Oxalis_amblyodonta,Bayer7397,EU437007
Oxalis_amblyosepala,Oberlander0168,EU436982
Oxalis_amorimii,Fiaschi5457,PQ536092
Oxalis_andina,Emshwiller315,U74263
Oxalis_animarum,Cabral275,Cabral
Oxalis_annae,Mucina170903/3,EU436920
Oxalis_arbuscula,HeiblPfanzelt05-050,JN634722
Oxalis_arenaria,Heibl03-094,JN634723
Oxalis_argentina,Emshwiller235,JN618516
Oxalis_argillacea,Dreyer786,EU436940
Oxalis_argyrophylla,Oberlander0040,EU437005
Oxalis_aridicola,Dreyer672,EU436977
Oxalis_artemioides,Sartor81,Cabral
Oxalis_articulata_forma_crassipes,Emshwiller463,JN618506
Oxalis_articulata_subsp_articulata,Vaio505,KX249612
Oxalis_articulata_subsp_rubra,Emshwiller146,JN618507
Oxalis_atacamensis,Heibl01-054,JN634724
Oxalis_attaquana,Bayer7007,EU436918
Oxalis_aurea,Dreyer771,EU436935
Oxalis_aureoflava,Zollitsch61,NA
Oxalis_barrelieri,UnknownN,KC602027
Oxalis_bela-vitoriae,Fiaschi4606,OQ310871
Oxalis_bifida,Dreyer608,EU437017
Oxalis_bifrons,Fiaschi3633,KC602021
