locus,length,partition
ITS,817,1 - 817
ncpGS,649,818 - 1466
psbA_trnH,569,1467 - 2035
psbJ_petA,784,2036 - 2819
rbcL,1402,2820 - 4221
trnL_trnF,946,4222 - 5167
trnS_trnG,739,5168 - 5906
trnT_trnL,847,5907 - 6753
